,page,country,rev_id,quality,population,region
85,Ali II of Bornu,Chad,788999424,Stub,16.877,AFRICA
86,Arabi El Goni,Chad,789126126,Stub,16.877,AFRICA
87,Dunama Dabbalemi,Chad,789935196,Start,16.877,AFRICA
88,Idris Alooma,Chad,792734868,Start,16.877,AFRICA
89,Mahamat Nouri,Chad,792954115,B,16.877,AFRICA
90,Idriss Ndele Moussa,Chad,796654025,Stub,16.877,AFRICA
91,Mbaydoum Simeon,Chad,796690873,Stub,16.877,AFRICA
92,Ngarindo Milengar,Chad,796700718,Stub,16.877,AFRICA
93,List of Prime Ministers of Chad,Chad,797747674,Start,16.877,AFRICA
94,Idriss Déby,Chad,798286150,C,16.877,AFRICA
95,Saleh Kebzabo,Chad,798626040,C,16.877,AFRICA
96,Moussa Faki,Chad,799043301,C,16.877,AFRICA
97,Template:Chad-politician-stub,Chad,799373925,Stub,16.877,AFRICA
98,Kalzeubet Pahimi Deubet,Chad,799413193,Stub,16.877,AFRICA
99,Haroun Kabadi,Chad,799447895,Start,16.877,AFRICA
100,Nagoum Yamassoum,Chad,799447995,Start,16.877,AFRICA
101,Outel Bono,Chad,799448338,Start,16.877,AFRICA
102,Ahmat Acyl,Chad,799902492,C,16.877,AFRICA
103,Djimrangar Dadnadji,Chad,800133552,Start,16.877,AFRICA
104,Delwa Kassiré Koumakoye,Chad,801029539,C,16.877,AFRICA
105,Fidèle Moungar,Chad,801192255,C,16.877,AFRICA
106,Jean Alingué Bawoyeu,Chad,801192303,B,16.877,AFRICA
107,Emmanuel Nadingar,Chad,801573576,C,16.877,AFRICA
108,Roger Djikisna,Chad,801583221,Stub,16.877,AFRICA
109,Firmin Djidingar,Chad,801583260,Stub,16.877,AFRICA
110,Idris I of Kanem,Chad,802874918,Stub,16.877,AFRICA
111,Vice President of Chad,Chad,803166509,Stub,16.877,AFRICA
112,Hissène Habré,Chad,803166806,GA,16.877,AFRICA
113,Negue Djogo,Chad,803166989,Start,16.877,AFRICA
114,Wadel Abdelkader Kamougué,Chad,803167152,C,16.877,AFRICA
115,Félix Malloum,Chad,803167336,Start,16.877,AFRICA
116,Lol Mahamat Choua,Chad,803167424,C,16.877,AFRICA
117,Goukouni Oueddei,Chad,803167990,C,16.877,AFRICA
118,Albert Pahimi Padacké,Chad,803433107,C,16.877,AFRICA
119,List of heads of state of Chad,Chad,803812011,Start,16.877,AFRICA
120,Elise Loum,Chad,804773540,Start,16.877,AFRICA
121,Agnes Allafi,Chad,805493169,Start,16.877,AFRICA
122,Christine Georges Diguibaye,Chad,806337653,Stub,16.877,AFRICA
123,Pascal Yoadimnadji,Chad,806508985,Start,16.877,AFRICA
124,Aissa Koli,Chad,806616268,Start,16.877,AFRICA
125,Omar I of Kanem,Chad,807425129,Start,16.877,AFRICA
126,Template:Zimbabwe-politician-stub,Zimbabwe,391862046,Stub,14.863,AFRICA
127,Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,Stub,14.863,AFRICA
128,Jabulani Dube,Zimbabwe,645408814,Stub,14.863,AFRICA
129,Fletcher Dulini,Zimbabwe,669981316,Stub,14.863,AFRICA
130,Leopold Takawira,Zimbabwe,710060929,Start,14.863,AFRICA
131,Tinos Rusere,Zimbabwe,710524880,Start,14.863,AFRICA
132,Gift Tandare,Zimbabwe,710615823,Stub,14.863,AFRICA
133,Engelbert Rugeje,Zimbabwe,711448400,Start,14.863,AFRICA
134,Max Mnkandla,Zimbabwe,711509855,Stub,14.863,AFRICA
135,Lovemore Matombo,Zimbabwe,711958194,Stub,14.863,AFRICA
136,Alfred Nikita Mangena,Zimbabwe,712004487,Stub,14.863,AFRICA
137,Simbi Mubako,Zimbabwe,713121927,Stub,14.863,AFRICA
138,Nicholas Kiti kiti,Zimbabwe,713308132,Stub,14.863,AFRICA
139,Aleck Gumbo,Zimbabwe,713580662,Stub,14.863,AFRICA
140,Jabulani Sibanda,Zimbabwe,713618917,Start,14.863,AFRICA
141,Cain Mathema,Zimbabwe,713726531,Stub,14.863,AFRICA
142,Patrick Kombayi,Zimbabwe,713740128,Stub,14.863,AFRICA
143,Langton Towungana,Zimbabwe,713899377,Stub,14.863,AFRICA
144,Eric Matinenga,Zimbabwe,714455111,Stub,14.863,AFRICA
145,Emmanuel Chiroto,Zimbabwe,714535045,Stub,14.863,AFRICA
146,Muchadeyi Masunda,Zimbabwe,714706533,C,14.863,AFRICA
147,David Butau,Zimbabwe,714967769,Stub,14.863,AFRICA
148,Thompson Samkange,Zimbabwe,715131189,Stub,14.863,AFRICA
149,Nomalanga Khumalo,Zimbabwe,715183334,Stub,14.863,AFRICA
150,Henry Dzinotyiweyi,Zimbabwe,715867004,Stub,14.863,AFRICA
151,Edward Raradza,Zimbabwe,716017725,Stub,14.863,AFRICA
152,Rekayi Tangwena,Zimbabwe,716669163,Stub,14.863,AFRICA
153,Sibonile Nyamudeza,Zimbabwe,717380254,Stub,14.863,AFRICA
154,Misheck Kagurabadza,Zimbabwe,720008799,Stub,14.863,AFRICA
155,Morgan Femai,Zimbabwe,721674926,Stub,14.863,AFRICA
156,Bybit Lydia Tsomondo,Zimbabwe,723082034,Stub,14.863,AFRICA
157,Kisinoti Mukwazhe,Zimbabwe,723353282,Stub,14.863,AFRICA
158,David Karimanzira,Zimbabwe,725242133,Stub,14.863,AFRICA
159,Sobusa Gula-Ndebele,Zimbabwe,726651867,Stub,14.863,AFRICA
160,Sylvester Nguni,Zimbabwe,726686195,Stub,14.863,AFRICA
161,Thamsanqa Mahlangu,Zimbabwe,726687480,Stub,14.863,AFRICA
162,Tichaona Mudzingwa,Zimbabwe,726687648,Stub,14.863,AFRICA
163,Murisi Zwizwai,Zimbabwe,726687669,Stub,14.863,AFRICA
164,Samuel Undenge,Zimbabwe,726688144,Stub,14.863,AFRICA
165,Reuben Marumahoko,Zimbabwe,726688205,Stub,14.863,AFRICA
166,Simon Khaya-Moyo,Zimbabwe,730764918,Stub,14.863,AFRICA
167,"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,Start,14.863,AFRICA
168,Jevan Maseko,Zimbabwe,736911246,Stub,14.863,AFRICA
169,Munacho Mutezo,Zimbabwe,738729779,Stub,14.863,AFRICA
170,Sesel Zvidzai,Zimbabwe,738810400,Stub,14.863,AFRICA
171,Samuel Sipepa Nkomo,Zimbabwe,738992625,Stub,14.863,AFRICA
172,Faber Chidarikire,Zimbabwe,738992871,Start,14.863,AFRICA
173,Willard Chiwewe,Zimbabwe,738992910,Stub,14.863,AFRICA
174,Martin Dinha,Zimbabwe,738992918,Stub,14.863,AFRICA
175,Herbert Ushewokunze,Zimbabwe,739137894,Stub,14.863,AFRICA
176,Nyasha Chikwinya,Zimbabwe,742899761,Start,14.863,AFRICA
177,Naomi Nhiwatiwa,Zimbabwe,743971092,Start,14.863,AFRICA
178,Bright Matonga,Zimbabwe,744753863,Stub,14.863,AFRICA
179,Thokozani Khuphe,Zimbabwe,747274193,Start,14.863,AFRICA
180,Border Gezi,Zimbabwe,748061603,Start,14.863,AFRICA
181,Rugare Gumbo,Zimbabwe,749496266,Start,14.863,AFRICA
182,George Nyandoro,Zimbabwe,750224976,Start,14.863,AFRICA
183,Paul Chimedza,Zimbabwe,750428952,Stub,14.863,AFRICA
184,Gorden Moyo,Zimbabwe,750974704,Stub,14.863,AFRICA
185,Daniel Shumba,Zimbabwe,753294248,Start,14.863,AFRICA
186,Douglas Mombeshora,Zimbabwe,755110125,Stub,14.863,AFRICA
187,Munyaradzi Gwisai,Zimbabwe,755337199,Start,14.863,AFRICA
188,Olivia Muchena,Zimbabwe,757616307,Start,14.863,AFRICA
189,Paurine Mpariwa,Zimbabwe,757616437,Stub,14.863,AFRICA
190,Sithembiso Nyoni,Zimbabwe,757617613,Stub,14.863,AFRICA
191,Earnest Mudzengi,Zimbabwe,757796569,Stub,14.863,AFRICA
192,Gift Banda,Zimbabwe,758442662,Stub,14.863,AFRICA
193,Wilson Kumbula,Zimbabwe,759330558,Stub,14.863,AFRICA
194,Paurina Mpariwa,Zimbabwe,760532029,Stub,14.863,AFRICA
195,Flora Buka,Zimbabwe,762630896,Stub,14.863,AFRICA
196,Elliot Manyika,Zimbabwe,763330074,Start,14.863,AFRICA
197,Diana Mitchell,Zimbabwe,764299725,Start,14.863,AFRICA
198,Maurice Nyagumbo,Zimbabwe,764826793,Start,14.863,AFRICA
199,Josiah Zion Gumede,Zimbabwe,765095810,Start,14.863,AFRICA
200,Edson Zvobgo,Zimbabwe,767922311,Start,14.863,AFRICA
201,Felix Magalela Mafa Sibanda,Zimbabwe,769519957,C,14.863,AFRICA
202,Tracy Mutinhiri,Zimbabwe,769876632,Stub,14.863,AFRICA
203,Kayisa Ndiweni,Zimbabwe,771958995,Stub,14.863,AFRICA
204,Enoch Dumbutshena,Zimbabwe,774026217,Stub,14.863,AFRICA
205,Hubert Nyanhongo,Zimbabwe,774061307,Stub,14.863,AFRICA
206,James Chikerema,Zimbabwe,775935799,C,14.863,AFRICA
207,Victoria Chitepo,Zimbabwe,776389556,Start,14.863,AFRICA
208,Joel Gabuza,Zimbabwe,776840034,Stub,14.863,AFRICA
209,Trudy Stevenson,Zimbabwe,776943338,Start,14.863,AFRICA
210,Joram Gumbo,Zimbabwe,777424335,Stub,14.863,AFRICA
211,Joseph Chinotimba,Zimbabwe,777482252,C,14.863,AFRICA
212,Nkululeko Sibanda,Zimbabwe,777623864,Start,14.863,AFRICA
213,Janet Banana,Zimbabwe,777849777,Stub,14.863,AFRICA
214,Lazarus Dokora,Zimbabwe,780062778,Stub,14.863,AFRICA
215,Lutho Tapela,Zimbabwe,782607746,Stub,14.863,AFRICA
216,Moven Mahachi,Zimbabwe,783298283,Start,14.863,AFRICA
217,Margaret Dongo,Zimbabwe,783419906,Start,14.863,AFRICA
218,Sekai Holland,Zimbabwe,783637102,C,14.863,AFRICA
219,George Chiweshe,Zimbabwe,783919896,Start,14.863,AFRICA
220,Josiah Mushore Chinamano,Zimbabwe,784396785,Stub,14.863,AFRICA
221,Michael Bimha,Zimbabwe,784668448,Stub,14.863,AFRICA
222,Josiah Tongogara,Zimbabwe,786913202,C,14.863,AFRICA
223,Naison Ndlovu,Zimbabwe,787854175,Stub,14.863,AFRICA
224,Enos Mdlongwa,Zimbabwe,787854640,Stub,14.863,AFRICA
225,Lindiwe Majele Sibanda,Zimbabwe,788247480,Start,14.863,AFRICA
226,Ndabaningi Sithole,Zimbabwe,788291899,C,14.863,AFRICA
227,Ambrose Mutinhiri,Zimbabwe,788777043,Stub,14.863,AFRICA
228,Judith Todd,Zimbabwe,788792548,Start,14.863,AFRICA
229,Andrew Langa,Zimbabwe,789094827,Stub,14.863,AFRICA
230,Christopher Kuruneri,Zimbabwe,789427326,Start,14.863,AFRICA
231,Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,Stub,14.863,AFRICA
232,Swithun Mombeshora,Zimbabwe,789545179,Stub,14.863,AFRICA
233,Oppah Muchinguri,Zimbabwe,789545185,Stub,14.863,AFRICA
234,Samuel Mumbengegwi,Zimbabwe,789545206,Start,14.863,AFRICA
235,Chris Mushohwe,Zimbabwe,789545212,Stub,14.863,AFRICA
236,Giles Mutsekwa,Zimbabwe,789545214,Stub,14.863,AFRICA
237,Francis Nhema,Zimbabwe,789545220,Stub,14.863,AFRICA
238,Mike Nyambuya,Zimbabwe,789545233,Stub,14.863,AFRICA
239,Solomon Mujuru,Zimbabwe,789898624,C,14.863,AFRICA
240,Ronald Penza,Zimbabwe,789948565,Stub,14.863,AFRICA
241,Joseph Made,Zimbabwe,789965571,Start,14.863,AFRICA
242,Evelyn Masaiti,Zimbabwe,790034879,Stub,14.863,AFRICA
243,Jessie Majome,Zimbabwe,790035057,Start,14.863,AFRICA
244,Theresa Makoni,Zimbabwe,790423262,Stub,14.863,AFRICA
245,List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,Stub,14.863,AFRICA
246,Blessing Chebundo,Zimbabwe,791690130,Start,14.863,AFRICA
247,George Charamba,Zimbabwe,793738070,Stub,14.863,AFRICA
248,Chenhanho Chimutengwende,Zimbabwe,793820850,Start,14.863,AFRICA
249,Simon Muzenda,Zimbabwe,794934380,Start,14.863,AFRICA
250,Witness Mangwende,Zimbabwe,794934451,Stub,14.863,AFRICA
251,Nathan Shamuyarira,Zimbabwe,794934469,C,14.863,AFRICA
252,Joseph Makamba Busha,Zimbabwe,795007156,Start,14.863,AFRICA
253,Walter Chidakwa,Zimbabwe,795247525,Stub,14.863,AFRICA
254,Maxwell Zeb Shumba,Zimbabwe,795637625,Start,14.863,AFRICA
255,Henry Madzorera,Zimbabwe,795846349,Stub,14.863,AFRICA
256,First Lady of Zimbabwe,Zimbabwe,796477244,Stub,14.863,AFRICA
257,Charles Shanyurai Majange,Zimbabwe,796608492,Stub,14.863,AFRICA
258,Elleck Mashingaidze,Zimbabwe,796726442,Stub,14.863,AFRICA
259,Phillip Chiyangwa,Zimbabwe,797170378,Start,14.863,AFRICA
260,Chenjerai Hunzvi,Zimbabwe,797225827,C,14.863,AFRICA
261,Edward Chindori-Chininga,Zimbabwe,797414978,Start,14.863,AFRICA
262,Arthur Mutambara,Zimbabwe,797932659,C,14.863,AFRICA
263,Edgar Tekere,Zimbabwe,798106157,C,14.863,AFRICA
264,Psychology Maziwisa,Zimbabwe,798140615,C,14.863,AFRICA
265,Isaac Matongo,Zimbabwe,798248963,Stub,14.863,AFRICA
266,Julia Tukai Zvobgo,Zimbabwe,798468363,C,14.863,AFRICA
267,Jameson Timba,Zimbabwe,799326094,Stub,14.863,AFRICA
268,Ben Ncube,Zimbabwe,799405378,Stub,14.863,AFRICA
269,Obedingwa Mguni,Zimbabwe,799406056,Stub,14.863,AFRICA
270,Denis Norman,Zimbabwe,799605293,Start,14.863,AFRICA
271,Japhet Ndabeni Ncube,Zimbabwe,800407734,Stub,14.863,AFRICA
272,Nicholas Mabodoko,Zimbabwe,800407872,Stub,14.863,AFRICA
273,Fay Chung,Zimbabwe,800705666,B,14.863,AFRICA
274,Alfred Makwarimba,Zimbabwe,801370822,Stub,14.863,AFRICA
275,Elphas Mukonoweshuro,Zimbabwe,801488585,Stub,14.863,AFRICA
276,Elton Mangoma,Zimbabwe,801497420,Start,14.863,AFRICA
277,Edna Madzongwe,Zimbabwe,802259324,Start,14.863,AFRICA
278,Fidelis Mhashu,Zimbabwe,803084855,Stub,14.863,AFRICA
279,Promise Mkwananzi,Zimbabwe,803579259,Start,14.863,AFRICA
280,Saviour Kasukuwere,Zimbabwe,804677245,Start,14.863,AFRICA
281,Walter Mzembi,Zimbabwe,804678140,Stub,14.863,AFRICA
282,Kembo Mohadi,Zimbabwe,804811059,Start,14.863,AFRICA
283,Learnmore Jongwe,Zimbabwe,804844902,Start,14.863,AFRICA
284,Lovemore Madhuku,Zimbabwe,804895632,C,14.863,AFRICA
285,List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,Stub,14.863,AFRICA
286,Joice Mujuru,Zimbabwe,805993308,C,14.863,AFRICA
287,Ignatious Chombo,Zimbabwe,806656210,Start,14.863,AFRICA
288,Robert Mugabe,Zimbabwe,806814411,FA,14.863,AFRICA
289,Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,C,14.863,AFRICA
290,Guy Georgias,Zimbabwe,807196681,TextDeleted: Text deleted (datasource.revision.text),14.863,AFRICA
291,Grace Mugabe,Zimbabwe,807337237,GA,14.863,AFRICA
292,Guy Clutton-Brock,Zimbabwe,807442408,Start,14.863,AFRICA
293,Template:Uganda-politician-stub,Uganda,391862070,Stub,45.74100000000001,AFRICA
294,Template:Uganda-mayor-stub,Uganda,444767727,Stub,45.74100000000001,AFRICA
295,Yosia Nadiope of Busoga,Uganda,655390291,Stub,45.74100000000001,AFRICA
296,Patrick Mutono,Uganda,684295893,Stub,45.74100000000001,AFRICA
297,Stanislaus Okurut,Uganda,689614169,Stub,45.74100000000001,AFRICA
298,Charles Oboth Ofumbi,Uganda,693292931,Start,45.74100000000001,AFRICA
299,Pumla Kisosonkole,Uganda,693388584,Start,45.74100000000001,AFRICA
300,Francis K. Butagira,Uganda,707473503,Start,45.74100000000001,AFRICA
301,Otema Allimadi,Uganda,708054598,Stub,45.74100000000001,AFRICA
302,Omwony Ojwok,Uganda,713020154,Stub,45.74100000000001,AFRICA
303,Jachan Mandir Omach,Uganda,715433158,Stub,45.74100000000001,AFRICA
304,Onegi Obel,Uganda,717146307,Start,45.74100000000001,AFRICA
305,Saleh Kamba,Uganda,720059752,Stub,45.74100000000001,AFRICA
306,John Kabaireho,Uganda,723957779,Stub,45.74100000000001,AFRICA
307,Tete Chelangat,Uganda,724554948,Stub,45.74100000000001,AFRICA
308,Sarah Kanyike,Uganda,725742962,Start,45.74100000000001,AFRICA
309,Gagawala Wambuzi,Uganda,726767754,Stub,45.74100000000001,AFRICA
310,Julius Wandera Maganda,Uganda,726918511,Stub,45.74100000000001,AFRICA
311,Haruna Kasolo Kyeyune,Uganda,726919678,Stub,45.74100000000001,AFRICA
312,Yabezi Kiiza,Uganda,736273855,Stub,45.74100000000001,AFRICA
313,Semei Kakungulu,Uganda,737799048,C,45.74100000000001,AFRICA
314,Abu Mayanja,Uganda,746946728,C,45.74100000000001,AFRICA
315,Daniel Kidega,Uganda,753278613,Start,45.74100000000001,AFRICA
316,Eng Abner Nangwale,Uganda,756457100,Stub,45.74100000000001,AFRICA
317,Yowabu Magada Kawaluuko,Uganda,757388522,Start,45.74100000000001,AFRICA
318,Grace Kwiyucwiny,Uganda,757563021,Start,45.74100000000001,AFRICA
319,Mary Goretti Kitutu,Uganda,757615490,Start,45.74100000000001,AFRICA
320,Rukiya Chekamondo,Uganda,757616921,Start,45.74100000000001,AFRICA
321,Sezi Mbaguta,Uganda,757617202,Start,45.74100000000001,AFRICA
322,Frederick Ngobi Gume,Uganda,758395750,Stub,45.74100000000001,AFRICA
323,Rosemary Seninde,Uganda,758567928,Start,45.74100000000001,AFRICA
324,Gerald Ssendaula,Uganda,759366517,C,45.74100000000001,AFRICA
325,Juma Oris,Uganda,759378614,Stub,45.74100000000001,AFRICA
326,Godfrey Kiwanda,Uganda,759877869,Stub,45.74100000000001,AFRICA
327,Geoffrey Onegi Obel,Uganda,760056661,Start,45.74100000000001,AFRICA
328,Tom Butime,Uganda,760181848,Start,45.74100000000001,AFRICA
329,Dennis Galabuzi Ssozi,Uganda,760184747,Start,45.74100000000001,AFRICA
330,Ken Lukyamuzi,Uganda,763247419,Stub,45.74100000000001,AFRICA
331,Victoria Sekitoleko,Uganda,766481345,C,45.74100000000001,AFRICA
332,Emmanuel Otala,Uganda,766665157,Start,45.74100000000001,AFRICA
333,Kabakumba Masiko,Uganda,770316807,C,45.74100000000001,AFRICA
334,Innocent Oula,Uganda,771724283,Start,45.74100000000001,AFRICA
335,Isaac Mulindwa,Uganda,773245217,Start,45.74100000000001,AFRICA
336,Hope Mwesigye,Uganda,773870932,Start,45.74100000000001,AFRICA
337,Katikkiro of Buganda,Uganda,774683767,Stub,45.74100000000001,AFRICA
338,Daudi Cwa II of Buganda,Uganda,774683907,C,45.74100000000001,AFRICA
339,Ssuuna II of Buganda,Uganda,774684052,Start,45.74100000000001,AFRICA
340,Kamaanya of Buganda,Uganda,774684080,Start,45.74100000000001,AFRICA
341,Semakookiro of Buganda,Uganda,774684109,Start,45.74100000000001,AFRICA
342,Jjunju of Buganda,Uganda,774684124,Start,45.74100000000001,AFRICA
343,Kato Kintu,Uganda,774684195,Stub,45.74100000000001,AFRICA
344,Chwa I of Buganda,Uganda,774684228,Start,45.74100000000001,AFRICA
345,Kyabaggu of Buganda,Uganda,774830237,Start,45.74100000000001,AFRICA
346,Kiweewa of Buganda,Uganda,774831268,Start,45.74100000000001,AFRICA
347,Ismael Orot,Uganda,775522497,Stub,45.74100000000001,AFRICA
348,James Obita,Uganda,775995921,Stub,45.74100000000001,AFRICA
349,Janat Mukwaya,Uganda,776107670,Start,45.74100000000001,AFRICA
350,Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,Start,45.74100000000001,AFRICA
351,Jeremiah Twa-Twa,Uganda,776491782,Start,45.74100000000001,AFRICA
352,Joyce Kakuramatsi Kikafunda,Uganda,777643576,Stub,45.74100000000001,AFRICA
353,Kania Obiga,Uganda,778265355,Stub,45.74100000000001,AFRICA
354,Apollo Kironde,Uganda,778598971,Stub,45.74100000000001,AFRICA
355,Kibirige Mayanja,Uganda,778840186,Start,45.74100000000001,AFRICA
356,Kintu Musoke,Uganda,779007768,Start,45.74100000000001,AFRICA
357,Jessica Alupo,Uganda,779397351,Start,45.74100000000001,AFRICA
358,Rebecca Amuge Otengo,Uganda,779397437,Start,45.74100000000001,AFRICA
359,Syda Bbumba,Uganda,779397532,Start,45.74100000000001,AFRICA
360,Alintuma Nsambu,Uganda,781605803,Stub,45.74100000000001,AFRICA
361,Esther Mbulakubuza Mbayo,Uganda,781789704,Start,45.74100000000001,AFRICA
362,Abdul Nadduli,Uganda,782460126,Stub,45.74100000000001,AFRICA
363,Moses Kizige,Uganda,782979760,Start,45.74100000000001,AFRICA
364,Maria Kiwanuka,Uganda,783449036,Start,45.74100000000001,AFRICA
365,Elijah Mushemeza,Uganda,784734768,C,45.74100000000001,AFRICA
366,Michael Lulume Bayigga,Uganda,784768216,Start,45.74100000000001,AFRICA
367,Deo Rwabiita,Uganda,785038536,Stub,45.74100000000001,AFRICA
368,Daudi Ochieng,Uganda,785108122,Stub,45.74100000000001,AFRICA
369,Joy Kabatsi,Uganda,785339072,Start,45.74100000000001,AFRICA
370,Joshua Wanume Kibedi,Uganda,785862055,C,45.74100000000001,AFRICA
371,Kizza Besigye,Uganda,786081128,C,45.74100000000001,AFRICA
