,rev_id,article_quality,page,country
55,628619000,Stub,Jalmari Malmi,Finland
56,628766656,Stub,Viljo Pousi,Finland
57,628988952,Stub,Jooseppi Kauranen,Finland
58,629562076,Stub,Sardar Aurang Zeb Khan,Pakistan
59,629818376,Stub,Jeremiah Kasambala,Tanzania
60,630396351,Stub,Sofia Hjulgrén,Finland
61,630396786,Stub,Vihtori Viitanen,Finland
62,630704768,Stub,Tirso Neri,Philippines
63,631437331,Stub,Cleisthenes (son of Sibyrtius),Greece
64,631581752,Start,Demonax (lawmaker),Greece
65,632008524,Start,List of 2009 Canadian incumbents,Canada
66,632261377,Stub,"Zero, None Of The Above",United Kingdom
67,632447328,Stub,Johan Franzén (politician),Finland
68,633612729,Start,Planning Minister of the Palestinian National Authority,Palestinian Territory
69,634032715,B,Liu Hongchang,China
70,635240253,Stub,Custos Rotulorum of County Wicklow,Ireland
71,635814126,Stub,Custos Rotulorum of County Cork,Ireland
72,636911471,Stub,Book:Two Political Biographies,India
73,637801253,Stub,Hegesippus (orator),Greece
74,638214719,Stub,Pheroze Sethna,India
75,638362866,Stub,Ibrahim Kassas,Tunisia
76,638377138,Stub,Dilip Sarkar,India
77,638566016,Start,"List of members of the parliament of East Timor, 2001–07",East Timorese
78,638571205,Stub,Gatluak Deng Garang,South Sudan
79,638599355,Start,List of members of the National Assembly of Botswana 2009–14,Botswana
80,639021339,Stub,Aliyu Ibrahim Gebi,Nigeria
81,639061161,Start,Wang Jichang,China
82,639471171,Stub,Waldemir Moka,Brazil
83,640014648,Stub,Custos Rotulorum of County Waterford,Ireland
84,640214913,Stub,Lee Ja-kyum,"Korea, South"
85,640826254,Stub,Wei Huan-zi,China
86,641422326,Stub,O'Higgins Pioche,Chile
87,643410335,Start,"List of Captains Regent of San Marino, 1500–1700",San Marino
88,643746000,Stub,Eiler Grubbe,Denmark
89,643932216,Start,"List of members of the Løgting, 1974–78",Faroese
90,643932220,Start,"List of members of the Løgting, 1978–80",Faroese
91,643932225,Start,"List of members of the Løgting, 1980–84",Faroese
92,643932226,Start,"List of members of the Løgting, 1984–88",Faroese
93,643932239,Start,"List of members of the Løgting, 1990–94",Faroese
94,643932242,Start,"List of members of the Løgting, 1994–98",Faroese
95,644024203,Stub,Olli Zitting,Finland
96,644041882,Stub,Pierre Philibert de Blancheton,France
97,644399375,Stub,Luiza Xhuvani,Albania
98,645225697,Start,Diego de Villalba y Toledo,Spain
99,645408814,Stub,Jabulani Dube,Zimbabwe
100,647367482,Start,James Bisset (mayor),Cape Colony
101,647450883,Stub,Ministry of Economy and Finance (Benin),Benin
102,647483021,Stub,Gheorghe Barbu,Romania
103,647832959,Stub,Pan Yunduan,China
104,647893858,Stub,Otto Elfving,Finland
105,648048611,Stub,List of Sri Lankan politicians,Sri Lanka
106,648271473,Stub,Fathema Ismail,India
107,650458255,Stub,Rafael Simancas,Spain
108,650462344,Stub,Adela Serra-Ty,Philippines
109,650494773,Stub,Muhammad al-Ghafri,Syria
110,651250302,Stub,Augustus Joseph Tancred,Cape Colony
111,651785828,Stub,Eneida de León,Uruguay
112,651856758,Stub,Read family of Delaware,United States
113,653467222,Stub,Johan Conrad Silberbauer,Cape Colony
114,653527941,Stub,Rossy Barbour,Canada
115,653895210,Stub,Reginald Nii Bi Ayibonte,Ghana
116,654012510,Stub,Franz Schimmelpfennig von der Ove,Poland
117,655031906,Stub,Ville Korhonen (politician),Finland
118,655032578,Stub,Onni Hallsten,Finland
119,655390291,Stub,Yosia Nadiope of Busoga,Uganda
120,655980284,Stub,María del Socorro Bustamante,Colombia
121,656352211,Stub,Enrique Pintado,Uruguay
122,656386131,Stub,Instructions of the Year XIII,Uruguay
123,656737492,Stub,Governor of Gagauzia,Moldova
124,657176628,Start,Neferkheperu-her-sekheper,Egypt
125,658939122,Stub,Abeifaa Karbo,Ghana
126,659315526,Stub,Auguste Louis Antoine Fabre,France
127,660214915,Start,Maksud Ibragimov,Tajikistan
128,660579437,Stub,Miguel R. Morales,Nicaragua
129,660884852,Start,Aljoša Čampara,Bosnia-Herzegovina
130,662681733,Start,Walter Simon (philanthropist),Germany
131,662927043,Start,Abu Sayyaf (Jordan),Jordan
132,663088604,Stub,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of"
133,663166199,Stub,Torsten Nielsen,Denmark
134,663348266,Stub,"List of members of the National Assembly (South Korea), 1950–54",South Korean
135,663572469,Stub,Mufti Abdullah,Pakistan
136,663617582,Stub,William Matthew Harries,South Africa
137,663783398,Stub,Maanu Paul,New Zealand
138,663880497,Stub,County governor (Lithuania),Lithuania
139,664532059,Stub,Burhan Muhammad,Indonesia
140,664669156,Stub,Martim Afonso de Brito,Portugal
141,664787336,Stub,Gonghe Regency,China
142,664793790,Stub,Irshadali Sumra,Kenya
143,664814622,Stub,Koufu,China
144,664822251,Stub,Political families of Odisha,India
145,666029819,Stub,Firmin Aerts,Belgium
146,666596918,Stub,James Cotterell Hoole,Cape Colony
147,666610075,Start,Philip Johannes Andries Watermeyer,South Africa
148,666752677,Stub,Ioan Rus,Romania
149,667194771,Stub,Pieter Adrianus Ossewaarde,Netherlands
150,667198201,Start,Christoffel van Swoll,Netherlands
151,667815878,Start,National Foundation for Women Legislators,United States
152,667821864,C,Les Scheininger,Canada
153,667873261,Start,Patrick Canning,Canada
154,667906849,Start,Kalina Krumova,Bulgaria
155,668091068,Stub,Pierre Chatenet,France
156,668095014,Stub,Henry Soum,Monaco
157,668258382,Stub,Brij Bhushan Mehra,India
158,668449610,Stub,Aurelian Pavelescu,Romania
159,668830946,Stub,Madut Kon Awan,South Sudan
160,669266906,Stub,Taieb Ghafes,Morocco
161,669301445,Stub,Teodor Andrault de Langeron,Poland
162,669387487,Start,Harry Davies (politician),Rhodesian
163,669444168,Stub,Ghassan Ashqar,Lebanon
164,669565720,Stub,Magnús Orri Schram,Iceland
165,669571173,Stub,Wusu Sannoh,Sierra Leone
166,669719757,Stub,Kuri II of Kanem,Chad
167,669831602,Stub,Laroussi Mizouri,Tunisia
168,669833212,Stub,Hashid Abdullah al-Ahmar,Yemen
169,669833349,Stub,Erkin Alymbekov,Kyrgyzstan
170,669835390,Stub,Angelo Staniscia,Italy
171,669841183,Stub,Malik Adnan Hayat Noon,Pakistan
172,669855022,Stub,Samou Seidou Adambi,Benin
173,669862709,Stub,Porfirio Smerdou,Mexico
174,669869895,Stub,Lise Nordin,Sweden
175,669981316,Stub,Fletcher Dulini,Zimbabwe
176,669985109,Stub,Krzysztof Abrahamowicz,Poland
177,669987106,Stub,Dilaver Bey,Turkey
178,670134982,Stub,Horace Mann Thu-Jaune,Madagascar
179,670210734,Start,Patrick Goold,Cape Colony
180,670462475,Stub,Murad Quenili,Afghanistan
181,670893206,Stub,Bir II of Kanem,Chad
182,670917017,Stub,Gerald Hill (politician),Canada
183,670960027,Stub,List of Presidents of Alsace,France
184,670971940,Stub,John R. O'Dea,Canada
185,671016281,Stub,Annaberdi Kakabaýew,Turkmenistan
186,671023940,Stub,Salim Yahya al-Kharega,Yemen
187,671029717,Stub,Faida Mohamed Bakar,Tanzania
188,671032132,Stub,Hosea Kiplagat,Kenya
189,671047987,Stub,Michael D. Lett,Grenada
190,671073599,Stub,Than Sina,Cambodia
191,671122320,Start,Samuel J. Hefferton,Canada
192,671189093,Stub,Armen Rustamyan,Armenia
193,671338098,Stub,Abdulahi Ahmed Afrah,Somalia
194,671338216,Stub,Ólafur Garðar Einarsson,Iceland
195,671455150,Stub,Badar,Afghanistan
196,671461616,Stub,Dušan Švantner,Slovakia
197,671462644,Stub,Óli Þorbjörn Guðbjartsson,Iceland
198,671473289,Stub,Mohammed Qalamuddin,Afghanistan
199,671475479,Stub,Patrick Bourson,France
200,671483959,Stub,Lininy,Madagascar
201,671511760,Stub,Azeez Issa Adesiji,Nigeria
202,671515606,Stub,Toluono Feti,Samoan
203,671516033,Stub,Ali al-Bahadili,Iraq
204,671637265,Stub,Valerian Revenco,Moldova
205,671868722,Stub,Presidential Palace Historical Site,Vietnam
206,671890885,Stub,Viktor Antonov,Russia
207,671891037,Stub,Elsa Malpartida,Peru
208,671895550,Stub,Rasoanaivo,Madagascar
209,671897239,Stub,Sadio Lamine Sow,Mali
210,671903264,Stub,Narayan Sharma Paudel,Nepal
211,672119030,Stub,Mataʻiʻulua ‘i Fonuamotu,Tonga
212,672156082,Stub,San Tun,Myanmar
213,672284154,Stub,Masahiro Futahashi,Japan
214,672515581,Stub,Yannis Moralis (politician),Greece
215,672547562,Stub,Macarena Escudero,Argentina
216,672709444,Stub,André Boulloche,France
217,672862914,Stub,Miroslav Poche,Czech Republic
218,673008587,Stub,Vojtěch Mynář,Czech Republic
219,673393730,Stub,Norma Colpari,Argentina
220,674487383,Stub,Roosevelt Jayjay,Liberia
221,674576443,Stub,Joshua Nii Laryea Afotey-Agbo,Ghana
222,674702694,Stub,Military Committee of the Congolese Party of Labour,Congo
223,674919905,Stub,Speaker of the Legislative Assembly of Montserrat,Montserratian
224,675271208,Stub,Ahmad bin Eid al-Thani,Qatar
225,675303236,C,Liga Federal,Uruguay
226,675376529,Stub,George Samuel Ranglin,Jamaica
227,676040670,Stub,Rubén Pellanda,Argentina
228,676043559,Stub,Raúl Lacabanne,Argentina
229,676044272,Stub,Juan Carlos Reyes (governor),Argentina
230,676498385,Stub,Bernardo Bas,Argentina
231,676610041,Stub,Alexander Dunphy,Canada
232,676612108,Stub,Gordon Dawe,Canada
233,676661990,Stub,Bijai Prasad,Fiji
234,676691070,Stub,Barton Scotland,Guyana
235,676732644,Stub,Paul Thoms,Canada
236,676734572,Stub,Frederick B. Rowe,Canada
237,676782180,Stub,Allan Evans (politician),Canada
238,676828191,B,Andries Botha,Cape Colony
239,676841743,Stub,Asesela Sadole,Fiji
240,676947124,Stub,Luke Woodrow,Canada
241,677094551,Stub,William G. Patterson,Canada
242,677317570,Start,Simeon Bouro,Solomon Islands
243,677435096,Stub,Salisu Buhari,Nigeria
244,677516121,Stub,Hou Zongbin,China
245,677523953,Stub,Jorge Zavala,Ecuador
246,677568976,Stub,Harry Quaderer,Liechtenstein
247,677724847,Stub,Freeman White (politician),Canada
248,677747943,Stub,Leneuoti Matusi,Tuvalu
249,677750304,Start,Second Toafa Ministry,Tuvalu
250,677769770,Stub,William J. MacNeil,Canada
251,677786528,Start,Miguel Cané,Argentina
252,677974642,Stub,Gabriel Antonio Pereira,Uruguay
253,678140107,Stub,Wilhelm Wallbaum,Germany
254,678440540,Stub,List of São Toméan politicians,Sao Tome and Principe
255,678532348,Start,Larbi Messari,Morocco
256,678595657,Stub,Sergey Zorin,Russia
257,678638092,Stub,Fakhrul Islam,Pakistan
258,678721991,Stub,Cora Amalia Castilla,Mexico
259,679247120,Start,Victor Macky,New Zealand
260,679294949,Stub,Joaquín Escolán y Balibrera,Salvadoran
261,679509452,Stub,Mohamed Mohamud Hayd,Somalia
262,679547012,Stub,Sergey Kalyakin,Belarus
263,679559247,Stub,List of Slovenian politicians,Slovenia
264,679591301,Stub,Mateo Vidal,Uruguay
265,679623758,Stub,John Collins (Canadian politician),Canada
266,679873929,Start,Osea Gavidi,Fiji
267,680016822,Start,Cui Yuying,China
268,680036029,Start,Abdul Rahim Ishak,Singapore
269,680071857,GA,Gumercinda Páez,Panama
270,680161213,Start,Des Dalton,Ireland
271,680174895,Stub,Claude Pivi,Guinea
272,680205631,C,Charles William Hutton,Cape Colony
273,680370867,Stub,Bernardo Grinspun,Argentina
274,680532939,Stub,Chairman of the Island Council (Pitcairn),Pitcairn Islands
275,680614363,Stub,Michael Konelios,Marshall Islands
276,680618398,Stub,Malik Khuda Buksh Tiwana,Pakistan
277,680618797,Stub,Barry Hynes,Canada
278,680629551,Stub,"Domonkos II, Archbishop of Esztergom",Hungary
279,680680191,Stub,Veríssimo Aguiar Cabral,Portugal
280,680722683,Stub,Federico Policani,Panama
281,680886613,Stub,Alexander Barybin,Russia
282,680933208,Stub,Hossam Arafat (politician),Palestinian Territory
283,680981536,Stub,Book:Australian Prime Ministers,Australia
284,681177706,Stub,Laura Alvarez,United Kingdom
285,681605695,Stub,Mirosław Czech,Poland
286,682145001,Start,Poli Karastoyanova,Bulgaria
287,682149007,Stub,Actisanes,Ethiopia
288,682166816,Stub,Azhar Cachalia,South Africa
289,682576258,Start,William Fairbridge,Rhodesian
290,682928660,Stub,Simona-Alice Man,Romania
291,683020488,Stub,Jerônima Mesquita,Brazil
292,683282915,Stub,Jose Solis,Philippines
293,683417360,Start,Viriato Fiallo,Dominican Republic
294,683631802,Stub,Rodolfo Gabrielli,Argentina
295,683715284,Stub,Eli Wong,Malaysia
296,683946857,Stub,Horácio de Matos,Brazil
297,684050793,Stub,Brendan Howard,Canada
298,684060626,Stub,Benigno Andrade Flores,Ecuador
299,684179656,Stub,Yury Zaostrovtsev,Russia
300,684295893,Stub,Patrick Mutono,Uganda
301,684464777,Stub,Giuseppe Fenaroli Avogadro,Italy
302,684499128,Stub,Afonso Pedro Canga,Angola
303,684525811,Stub,Wilhelm von Wedell-Piesdorf,Germany
304,684537777,Stub,Hans Graf von Schwerin-Löwitz,Germany
305,684542057,Start,Geoff Muntz,Australia
306,684660655,Stub,Martiros Sarukhanyan,Armenia
307,684804678,Stub,Maria del Pilar Hurtado,Colombia
308,684821806,Start,Giovanni Bovara,Italy
309,684859066,Stub,Zvonimir Mršić,Croatia
310,684879320,Start,Julius Muthamia,Kenya
311,684903534,Stub,Wilson Callan,Canada
312,684903869,Stub,Rod Moores,Canada
313,685116600,Stub,Georges Adwan,Lebanon
314,685320824,Start,Muhammad Musa al-Amri,Yemen
315,685347694,Stub,Murray Hill Incorporated,United States
316,685720694,Stub,Aníbal Diniz,Brazil
317,686050095,Stub,Slaheddine Ben Mbarek,Tunisia
318,686269631,Stub,Ali Fawzi Rebaine,Algeria
319,686349441,Stub,Jochen Ott,Germany
320,686375687,Stub,Aleksander Miller,Poland
321,686406513,Stub,Sergei Gaidukevich,Belarus
322,686619225,Stub,President of Taiwan,Taiwan
323,686777395,Start,Siosifa Tuʻitupou Tuʻutafaiva,Tonga
324,687093229,C,Qandil Cabinet,Egypt
325,687109778,Stub,Ivo Andrić-Lužanski,Bosnia-Herzegovina
326,687127320,Stub,Earl Asim Martin,Saint Kitts and Nevis
327,687130572,Stub,Raúl Borrás,Argentina
328,687134370,Stub,Roque Carranza,Argentina
329,687138552,Stub,Germán López (politician),Argentina
330,687159388,Start,Electoral history of Mohammad Khatami,Iran
331,687159391,Start,Electoral history of Mahmoud Ahmadinejad,Iran
332,687159546,Start,Electoral history of Ali Larijani,Iran
333,687160422,Stub,Meng Xiangwei,China
334,687285060,Stub,House of Theemuge,Maldives
335,687492743,Stub,Ata Messan Ajavon Zeus,Togo
336,687613810,Stub,John Rogers (Irish lawyer),Ireland
337,687837173,Stub,Mustafa Osman Obeid Salim,Sudan
338,687882717,Start,Tito Hoz de Vila,Bolivia
339,688145583,Start,Alexandré Barro Chambrier,Gabon
340,688430552,Stub,Md. Moniruzzaman Moni,Bangladesh
341,688501356,Stub,Benjamin Green Freeman,Liberia
342,688524967,Stub,Han Tha Myint,Myanmar
343,688537236,Stub,Willem Buys,Netherlands
344,688590526,Stub,Joseph Gustave Ernest Allard,Belgium
345,688695923,Stub,Takis Papageorgopoulos,Greece
346,688697227,Start,List of 2010 Canadian incumbents,Canada
347,688763099,Stub,Zhu Haowen,China
348,689248087,Stub,Abu Samah Mohd Kassim,Malaysia
349,689614169,Stub,Stanislaus Okurut,Uganda
350,689893447,Stub,Ilmi Hallsten,Finland
351,689932213,Stub,Zhao Dezun,China
352,689944992,Stub,Mario Occhiuto,Italy
353,689950541,Stub,Leszek Deptuła,Poland
354,690074710,Start,Sergei Walter,Ukraine
355,690088836,Stub,List of mayors of Radoviš,Macedonia
356,690152474,Start,"Péter Szilágyi (politician, 1981)",Hungary
357,690205437,Stub,Harold Collins (Canadian politician),Canada
358,690430012,Stub,R. G. Balan,Malaysia
359,690548204,Stub,Vítor Aleixo,Portugal
360,690700220,Stub,Tuomas Pohjanpalo,Finland
361,690768683,Stub,Zhang Chang (Han),China
362,690770856,Stub,Lei Chunmei,China
363,691045510,Start,Franci Slak,Slovenia
364,691201135,Stub,Abdus Sattar Mondal,Bangladesh
365,691346630,Stub,Bashir Saadawi,Libya
366,691389889,Stub,Igwe Aja-Nwachukwu,Nigeria
367,691747234,Stub,Speaker of the Legislative Assembly of the Province of Canada,Canada
368,692123101,Stub,Josif Pashko,Albania
369,692141335,Stub,Ahmed Jamsheed Mohamed,Maldives
370,692173141,Stub,Kerfalla Yansané,Guinea
371,692298286,Stub,Amadou Konare,Mali
372,692475749,Stub,João Alberto de Souza,Brazil
373,692502721,Stub,Mote Terukaio,Kiribati
374,692502986,Stub,Tekiau Aretaateta,Kiribati
375,692684868,Stub,Marie-José Laloy,Belgium
376,693011077,Stub,Émile Marie Laurent,France
377,693055898,Stub,Mahamat Hissene,Chad
378,693179500,Stub,Rafael Tobias de Aguiar,Brazil
379,693208023,Stub,Phạm Thị Trân Châu,Vietnam
380,693211421,Stub,David Pacha,Solomon Islands
381,693292931,Start,Charles Oboth Ofumbi,Uganda
382,693336296,Stub,Lu Ruilin,China
383,693337130,Stub,Lalbuaia,India
384,693338177,Stub,Ian Brossat,France
385,693354280,Stub,Yuan Baocheng,China
386,693388584,Start,Pumla Kisosonkole,Uganda
387,693431430,Stub,Ivo Nesrovnal,Slovakia
388,693514155,Stub,Pekka Pesola,Finland
389,693552292,Stub,Jean Capelle (politician),France
390,693573541,Stub,Magnús Norðdahl,Iceland
391,693624260,Stub,John Blades Currey,Cape Colony
392,693661018,Stub,Li Zaihe,China
393,693714773,Stub,Guillermo Montenegro,Argentina
394,693721533,Stub,Khas-Ochiryn Luvsandorj,Mongolia
395,693748230,Stub,Michele Columbu,Italy
396,693817205,C,Li Sancai,China
397,694039903,Stub,Martin Zephyr,Guyana
398,694084978,Stub,Khadyr Saparlyev,Turkmenistan
399,694112087,Stub,Arouna Mama,Benin
400,694313944,B,List of Dutch politicians,Netherlands
401,694335820,C,Robert Bohn Sikol,Vanuatu
402,694337217,Stub,Javier Reátegui,Peru
403,694364743,Stub,Mamadou Djigué,Mali
404,694519009,Start,Zaur Avidzba,Abkhazia
405,694557304,Start,Nyamyn Jagvaral,Mongolia
406,694588693,Stub,Mahadeo Deole,India
407,694815600,Stub,Ngo Dinh Khoi,Vietnam
408,694889020,Stub,Jorge Lemus,Argentina
409,694949199,Stub,Viktor Magnus von Born,Finland
410,694949347,Stub,Lennart Byman,Finland
411,694954386,Stub,Hamid Khan Achakzai,Pakistan
412,694969219,Stub,Johan Helo,Finland
413,694969272,Stub,Gunnar Henriksson,Finland
414,695276940,Stub,Cecilia Soria,Argentina
415,695389357,Start,Francisco de Arango y Parreño,Cuba
416,695393414,Stub,Tian Xiangli,China
417,695405443,Stub,Ridha Charfeddine,Tunisia
418,695633280,Stub,Tjapko Poppens,Netherlands
419,695644408,Start,Pradip Kumar Gyawali,Nepal
420,695938011,Stub,Thierry Poyet,Monaco
421,695941127,Stub,Eric Elena,Monaco
422,696119166,Stub,Kalikst Witkowski,Poland
423,696253449,Start,Nikos Markatos,Greece
424,696310078,Stub,Dobrilo Dedeić,Montenegro
425,696350624,Stub,Navin Patel,Fiji
426,696479863,Stub,Christopher Nwankwo,Nigeria
427,696606312,Stub,Electoral history of Atal Bihari Vajpayee,India
428,696608092,Stub,Khanzahi,Iran
429,696608668,Stub,Palden Tsering Gyamtso,India
430,697009255,Stub,Soledad Sosa,Argentina
431,697267319,Stub,Shafi U Ahmed,Bangladesh
432,697280332,Stub,Omar Benjelloun,Morocco
433,697369222,Stub,Fernão Martins da Fonseca Coutinho,Portugal
434,697507956,Start,Jean-François Robillon,Monaco
435,697511001,Stub,Lhatu Wangchuk,Bhutan
436,697556836,Start,Tek Bahadur Gurung,Nepal
437,697559666,Start,Mohammad Sultan,Bangladesh
438,697662367,Stub,Gaya Prasad,India
439,697742639,Stub,Political Bureau of the Central Committee of FRELIMO,Mozambique
440,697897076,Stub,Old Men Forget,United Kingdom
441,697908533,Stub,Satini Manuella,Tuvalu
442,698048774,Stub,S. Ganesan,India
443,698077739,Stub,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada
444,698093715,Start,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",Spain
445,698241676,Stub,Rameshwor Phuyal,Nepal
446,698253253,Stub,Rishi Kattel,Nepal
447,698345894,Stub,Peter Arnold (politician),Australia
448,698571611,Stub,Sushila Chaudhary,Nepal
449,698571613,Stub,Mahendra Dhoj G.C.,Nepal
450,698571631,Stub,Sher Bahadur Tamang,Nepal
451,698571634,Stub,Hari Bahadur Khadka,Nepal
452,698571661,Stub,Tirtha Bahadur Lama,Nepal
453,698571662,Stub,Vishwendraman Pashwan,Nepal
454,698571672,Stub,Tuluram Rajbanshi,Nepal
455,698571717,Stub,Hari Lal Joshi,Nepal
456,698571731,Stub,Arjun Jang Bahadur Singh,Nepal
457,698571738,Stub,Prem Lal Singh,Nepal
458,698571745,Stub,Sebaki Devi Das Tatma,Nepal
459,698571747,Stub,Chandra Bahadur Gurung,Nepal
460,698571748,Stub,Krishna Das Shrestha,Nepal
461,698571750,Stub,Om Prakash Yadav Gulzari,Nepal
462,698571758,Stub,Omprakash Yadav,Nepal
463,698571782,Stub,Hari Parajuli,Nepal
464,698571785,Stub,Ishwar Dayal Mishra,Nepal
465,698571803,Stub,Sher Dhan Rai,Nepal
466,698572100,Start,Bhim Bahadur Tamang,Nepal
467,698572160,Stub,Bedanand Jha,Nepal
468,698572183,Stub,Mohan Prasad Pandey,Nepal
469,698572200,Stub,Shekha Nath Adhikari,Nepal
470,698572239,Stub,Dev Raj Joshi,Nepal
471,698572252,Stub,Tarinee Datt Chataut,Nepal
472,698572269,Stub,Rabindra Nath Sharma,Nepal
473,698572288,Stub,Tek Bahadur Chokhyal,Nepal
474,698572291,Stub,Dip Kumar Upadhaya (Lamichhane),Nepal
475,698572322,Stub,Brijesh Kumar Gupta,Nepal
476,698572326,Stub,Harka Bahadur Singh,Nepal
477,698573619,Stub,Mohammad Estiyak Rai,Nepal
478,698573648,Stub,Rameshwor Prasad Dhungel,Nepal
479,698573657,Stub,Parbati Chaudhary,Nepal
480,698573663,Stub,Ram Hari Subedi,Nepal
481,698573690,Stub,Malabar Singh Thapa,Nepal
482,698573707,Stub,Yagya Bahadur Basnyat,Nepal
483,698573738,Stub,Narayan Singh Pun,Nepal
484,698575586,Stub,Ram Ayodhya Prasad Yadav,Nepal
485,698575613,Stub,Ramnath Dhakal,Nepal
486,698575620,Stub,Sher Bahadur Kunwor,Nepal
487,698575646,Stub,Ram Bir Manandhar,Nepal
488,698575662,Stub,Radhe Chandra Yadav,Nepal
489,698575677,Stub,Til Kumar Menyangbo Limbu,Nepal
490,698575695,Stub,Tirtha Ram Dangol,Nepal
491,698575714,Stub,Rajendra Kumar KC,Nepal
492,698582041,Stub,Lekh Nath Neupane,Nepal
493,698635954,Start,Frank Lark,New Zealand
494,698806662,Stub,Dorji Namgyal,Bhutan
495,698806682,Stub,Ugyen Tshering,Bhutan
496,698807297,Stub,Ibrahim Didi,Maldives
497,698807322,Stub,Ibrahim Saleem,Maldives
498,698807325,Start,Mohamed Munavvar,Maldives
499,698807337,Stub,Mohamed Zahir Hussain,Maldives
500,698807345,Stub,Azima Shukoor,Maldives
501,698807371,Stub,Mohamed bin Hajj Ali Thukkala,Maldives
502,698807791,Stub,Mahmood Razi,Maldives
503,698865505,Start,"List of members of the Løgting, 1998–2002",Faroese
504,698946168,Stub,Kumaraswamy Nandagopan,Sri Lanka
505,698946169,Stub,V. Sivayogan,Sri Lanka
506,698947539,Stub,P. Ariyaratnam,Sri Lanka
507,698947672,Stub,V. Edirmannasingham,Sri Lanka
508,698947841,Stub,K. Vignarajah,Sri Lanka
509,698948097,Stub,M. Manickam,Sri Lanka
510,698948150,Stub,S. R. P. Sraiva,Sri Lanka
511,698964210,C,Štefan Osuský,Slovakia
512,699022350,Stub,Elżbieta Branicka,Poland
513,699090098,Stub,S. Pasupathipillai,Sri Lanka
514,699090515,Stub,Ananda Kumarasiri,Sri Lanka
515,699093655,Stub,Manuel Martin (conquistador),Spain
516,699105110,Stub,Thein Tun,Myanmar
517,699105313,Stub,Khin Yi,Myanmar
518,699105350,Start,Win Aung,Myanmar
519,699105456,Stub,Sao Seng Suk,Myanmar
520,699105911,Start,Maung Oo,Myanmar
521,699105927,Start,Nai Htaw Sorn,Myanmar
522,699105952,Stub,Sein Myint,Myanmar
523,699105999,Stub,Khin Maung Thein,Myanmar
524,699106128,Stub,Kyaw Swa Khaing,Myanmar
525,699106152,Stub,Khin San Hlaing,Myanmar
526,699106649,Stub,Tin Hlaing,Myanmar
527,699106665,Stub,Thein Swe,Myanmar
