,rev_id,article_quality,page,country,population,region
39,774223248,C,Nassour Guelendouksia Ouaido,Chad,16.877,AFRICA
40,777478442,Stub,Joseph Brahim Seid,Chad,16.877,AFRICA
41,777550078,Start,Joseph Yodoyman,Chad,16.877,AFRICA
42,782638002,Start,Antoine Bangui,Chad,16.877,AFRICA
43,785614014,Stub,Ibrahim IV of Bornu,Chad,16.877,AFRICA
44,786449636,C,Hadjé Halimé,Chad,16.877,AFRICA
45,787390241,Start,Youssouf Togoïmi,Chad,16.877,AFRICA
46,787719236,Start,Adoum Younousmi,Chad,16.877,AFRICA
47,787738541,C,François Tombalbaye,Chad,16.877,AFRICA
48,787910771,Stub,Ahmat Hassaballah Soubiane,Chad,16.877,AFRICA
49,787921293,Start,Ahmad Allam-Mi,Chad,16.877,AFRICA
50,788009613,Stub,Laotegguelnodji Koumtog,Chad,16.877,AFRICA
51,788014671,Start,Mahamat Ali Adoum,Chad,16.877,AFRICA
52,788658822,Start,Mahamat Saleh Annadif,Chad,16.877,AFRICA
53,788827248,Stub,Mohamed Bechir-Sow,Chad,16.877,AFRICA
54,788828388,Start,Gontchomé Sahoulba,Chad,16.877,AFRICA
55,788828519,Start,Gabriel Lisette,Chad,16.877,AFRICA
56,788999424,Stub,Ali II of Bornu,Chad,16.877,AFRICA
57,789126126,Stub,Arabi El Goni,Chad,16.877,AFRICA
58,789935196,Start,Dunama Dabbalemi,Chad,16.877,AFRICA
59,792734868,Start,Idris Alooma,Chad,16.877,AFRICA
60,792954115,B,Mahamat Nouri,Chad,16.877,AFRICA
61,796654025,Stub,Idriss Ndele Moussa,Chad,16.877,AFRICA
62,796690873,Stub,Mbaydoum Simeon,Chad,16.877,AFRICA
63,796700718,Stub,Ngarindo Milengar,Chad,16.877,AFRICA
64,797747674,Start,List of Prime Ministers of Chad,Chad,16.877,AFRICA
65,798286150,C,Idriss Déby,Chad,16.877,AFRICA
66,798626040,C,Saleh Kebzabo,Chad,16.877,AFRICA
67,799043301,C,Moussa Faki,Chad,16.877,AFRICA
68,799413193,Stub,Kalzeubet Pahimi Deubet,Chad,16.877,AFRICA
69,799447895,Start,Haroun Kabadi,Chad,16.877,AFRICA
70,799447995,Start,Nagoum Yamassoum,Chad,16.877,AFRICA
71,799448338,Start,Outel Bono,Chad,16.877,AFRICA
72,799902492,C,Ahmat Acyl,Chad,16.877,AFRICA
73,800133552,Start,Djimrangar Dadnadji,Chad,16.877,AFRICA
74,801029539,C,Delwa Kassiré Koumakoye,Chad,16.877,AFRICA
75,801192255,C,Fidèle Moungar,Chad,16.877,AFRICA
76,801192303,B,Jean Alingué Bawoyeu,Chad,16.877,AFRICA
77,801573576,C,Emmanuel Nadingar,Chad,16.877,AFRICA
78,801583221,Stub,Roger Djikisna,Chad,16.877,AFRICA
79,801583260,Stub,Firmin Djidingar,Chad,16.877,AFRICA
80,802874918,Stub,Idris I of Kanem,Chad,16.877,AFRICA
81,803166509,Stub,Vice President of Chad,Chad,16.877,AFRICA
82,803166806,GA,Hissène Habré,Chad,16.877,AFRICA
83,803166989,Start,Negue Djogo,Chad,16.877,AFRICA
84,803167152,C,Wadel Abdelkader Kamougué,Chad,16.877,AFRICA
85,803167336,Start,Félix Malloum,Chad,16.877,AFRICA
86,803167424,C,Lol Mahamat Choua,Chad,16.877,AFRICA
87,803167990,C,Goukouni Oueddei,Chad,16.877,AFRICA
88,803433107,C,Albert Pahimi Padacké,Chad,16.877,AFRICA
89,803812011,Start,List of heads of state of Chad,Chad,16.877,AFRICA
90,804773540,Start,Elise Loum,Chad,16.877,AFRICA
91,805493169,Start,Agnes Allafi,Chad,16.877,AFRICA
92,806337653,Stub,Christine Georges Diguibaye,Chad,16.877,AFRICA
93,806508985,Start,Pascal Yoadimnadji,Chad,16.877,AFRICA
94,806616268,Start,Aissa Koli,Chad,16.877,AFRICA
95,807425129,Start,Omar I of Kanem,Chad,16.877,AFRICA
96,393276188,Stub,Information Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
97,596181202,Start,Finance Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
98,633612729,Start,Planning Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
99,680933208,Stub,Hossam Arafat (politician),Palestinian Territory,5.008,ASIA
100,701106976,Start,Tawfik Tirawi,Palestinian Territory,5.008,ASIA
101,706650943,Stub,Isam al-Qadi,Palestinian Territory,5.008,ASIA
102,707669406,Stub,Hussein al-Araj,Palestinian Territory,5.008,ASIA
103,708269321,Stub,Mohammad Barghouti,Palestinian Territory,5.008,ASIA
104,708495719,Stub,Ahmed Khalidi,Palestinian Territory,5.008,ASIA
105,708817890,Stub,Health Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
106,709529097,Stub,Qais Abd al-Karim,Palestinian Territory,5.008,ASIA
107,709567584,Stub,Mahmoud Aloul,Palestinian Territory,5.008,ASIA
108,709994434,Stub,Victor Batarseh,Palestinian Territory,5.008,ASIA
109,710133339,Start,Hanna Nasser (academic),Palestinian Territory,5.008,ASIA
110,710390049,Start,Anastas Hanania,Palestinian Territory,5.008,ASIA
111,710676772,Stub,Joudeh George Murqos,Palestinian Territory,5.008,ASIA
112,710990363,Stub,Ali al-Sartawi,Palestinian Territory,5.008,ASIA
113,712310215,Start,Jamal Tirawi,Palestinian Territory,5.008,ASIA
114,713203735,Stub,Samir Abu Eisheh,Palestinian Territory,5.008,ASIA
115,713505054,Start,Sami Taha,Palestinian Territory,5.008,ASIA
116,714176771,Stub,Ayyub Musallam,Palestinian Territory,5.008,ASIA
117,714181175,Start,Hajj Essa Hamed,Palestinian Territory,5.008,ASIA
118,714208891,Stub,Hasan Tahboub,Palestinian Territory,5.008,ASIA
119,714586856,Stub,Hanna Nasser,Palestinian Territory,5.008,ASIA
120,715125381,Stub,Ghazi Hanania,Palestinian Territory,5.008,ASIA
121,716425885,Stub,Amin Abd al-Hadi,Palestinian Territory,5.008,ASIA
122,717174805,Start,Samir Hulileh,Palestinian Territory,5.008,ASIA
123,717350346,Stub,Hatem Qafisha,Palestinian Territory,5.008,ASIA
124,717907429,Stub,Nayef Rajoub,Palestinian Territory,5.008,ASIA
125,720225559,Stub,Ghassan Shakaa,Palestinian Territory,5.008,ASIA
126,720541817,Stub,Salim Zanoun,Palestinian Territory,5.008,ASIA
127,725592476,Stub,Ahmad Bahar (Palestinian politician),Palestinian Territory,5.008,ASIA
128,729635985,C,Umm Nidal,Palestinian Territory,5.008,ASIA
129,730565205,Start,Aref al-Dajani,Palestinian Territory,5.008,ASIA
130,730612889,Stub,Faed Mustafa,Palestinian Territory,5.008,ASIA
131,734366909,B,Interior Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
132,737316891,Start,Samiha Khalil,Palestinian Territory,5.008,ASIA
133,738485209,Stub,Imil Jarjoui,Palestinian Territory,5.008,ASIA
134,740251014,Stub,Abu Zakaria al-Jamal,Palestinian Territory,5.008,ASIA
135,740562507,Stub,Mustafa al-Khalidi,Palestinian Territory,5.008,ASIA
136,741240899,Start,Samir Ghawshah,Palestinian Territory,5.008,ASIA
137,742810698,Stub,Fuad Kokaly,Palestinian Territory,5.008,ASIA
138,742930612,Stub,Janet Mikhail,Palestinian Territory,5.008,ASIA
139,744229617,Stub,Hind Khoury,Palestinian Territory,5.008,ASIA
140,744680083,Stub,Saloum Cohen,Palestinian Territory,5.008,ASIA
141,745445418,Start,Ahmed Majdalani,Palestinian Territory,5.008,ASIA
142,746561126,Stub,Faidi al-Alami,Palestinian Territory,5.008,ASIA
143,752269980,Stub,Arafat scarf,Palestinian Territory,5.008,ASIA
144,754951299,C,Zuhir al-Qaisi,Palestinian Territory,5.008,ASIA
145,754960024,Start,Mohammed Shabir,Palestinian Territory,5.008,ASIA
146,755358806,C,Said Seyam,Palestinian Territory,5.008,ASIA
147,756834998,Start,Atef Adwan,Palestinian Territory,5.008,ASIA
148,756836183,Start,Moussa Arafat,Palestinian Territory,5.008,ASIA
149,757565638,Start,Khouloud Daibes,Palestinian Territory,5.008,ASIA
150,759387598,Start,Nahid al-Rayyis,Palestinian Territory,5.008,ASIA
151,760357919,Start,Rawhi Fattouh,Palestinian Territory,5.008,ASIA
152,760375386,Stub,Wasfi Kabha,Palestinian Territory,5.008,ASIA
153,760380012,Stub,Omar Hammayil,Palestinian Territory,5.008,ASIA
154,760380700,Stub,Mohammed Milhim,Palestinian Territory,5.008,ASIA
155,765742925,Start,Faisal Husseini,Palestinian Territory,5.008,ASIA
156,766784372,Start,Haidar Abdel-Shafi,Palestinian Territory,5.008,ASIA
157,766840809,Start,Nasser al-Shaer,Palestinian Territory,5.008,ASIA
158,766847361,Stub,Omar Abd al-Razaq,Palestinian Territory,5.008,ASIA
159,767482479,Stub,Adnan al-Husayni,Palestinian Territory,5.008,ASIA
160,767881055,Start,Ziad Abu Amr,Palestinian Territory,5.008,ASIA
161,768374386,Start,Ziad Abuzayyad,Palestinian Territory,5.008,ASIA
162,769135700,Stub,Azzam al-Ahmad,Palestinian Territory,5.008,ASIA
163,769328020,Start,Leila Shahid,Palestinian Territory,5.008,ASIA
164,771217707,Start,Sharm El Sheikh Memorandum,Palestinian Territory,5.008,ASIA
165,773002344,Start,Hussein al-Husayni,Palestinian Territory,5.008,ASIA
166,773227993,Start,Riyad al-Maliki,Palestinian Territory,5.008,ASIA
167,774821388,C,Yasser Abed Rabbo,Palestinian Territory,5.008,ASIA
168,775535912,Start,Isra al-Modallal,Palestinian Territory,5.008,ASIA
169,775898615,C,Jamal Abu Samhadana,Palestinian Territory,5.008,ASIA
170,776289919,Start,Sufian Abu Zaida,Palestinian Territory,5.008,ASIA
171,776386870,Stub,Taysir Khalid,Palestinian Territory,5.008,ASIA
172,776831011,Start,Ibrahim Nassar,Palestinian Territory,5.008,ASIA
173,777026878,Start,Anwar Khatib,Palestinian Territory,5.008,ASIA
174,779034357,Stub,Jamil Majdalawi,Palestinian Territory,5.008,ASIA
175,779105366,Start,Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
176,779367907,Stub,Rabiha Diab,Palestinian Territory,5.008,ASIA
177,782105397,C,Ahmed Hilmi Pasha,Palestinian Territory,5.008,ASIA
178,783041670,Stub,Majida Al-Masri,Palestinian Territory,5.008,ASIA
179,784373796,Stub,Emil Ghuri,Palestinian Territory,5.008,ASIA
180,784662302,Start,Ali Jarbawi,Palestinian Territory,5.008,ASIA
181,784977752,Start,Jamal al-Jamal,Palestinian Territory,5.008,ASIA
182,785938135,B,Jamal al-Husayni,Palestinian Territory,5.008,ASIA
183,785938199,B,Musa al-Husayni,Palestinian Territory,5.008,ASIA
184,785938222,Stub,Salim al-Husayni,Palestinian Territory,5.008,ASIA
185,787198183,C,Mustafa Barghouti,Palestinian Territory,5.008,ASIA
186,787385830,Start,Abdel Hafiz Nofal,Palestinian Territory,5.008,ASIA
187,787447130,Stub,Zaki al-Ghul,Palestinian Territory,5.008,ASIA
188,787453135,C,Oslo I Accord,Palestinian Territory,5.008,ASIA
189,787691185,Stub,Adly Yaish,Palestinian Territory,5.008,ASIA
190,788004334,Start,Intissar al-Wazir,Palestinian Territory,5.008,ASIA
191,788019130,C,Muhammad Abu Tir,Palestinian Territory,5.008,ASIA
192,788023506,C,"Palestinian general election, 1996",Palestinian Territory,5.008,ASIA
193,788026998,C,Protocol Concerning the Redeployment in Hebron,Palestinian Territory,5.008,ASIA
194,788159128,Stub,Yousef al-Khalidi,Palestinian Territory,5.008,ASIA
195,788189214,Stub,List of mayors of Nablus,Palestinian Territory,5.008,ASIA
196,788437086,Stub,Khalil al-Hayya,Palestinian Territory,5.008,ASIA
197,788509815,B,President of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
198,788591724,Stub,Fathi Ahmad Hammad,Palestinian Territory,5.008,ASIA
199,788953220,GA,Abdullah Rimawi,Palestinian Territory,5.008,ASIA
200,788988278,Stub,Yahya Hammuda,Palestinian Territory,5.008,ASIA
201,789228790,Start,Hani al-Hassan,Palestinian Territory,5.008,ASIA
202,790695172,Start,Bashir Barghouti,Palestinian Territory,5.008,ASIA
203,790721748,Stub,Bassam as-Salhi,Palestinian Territory,5.008,ASIA
204,791881528,GA,Khalida Jarrar,Palestinian Territory,5.008,ASIA
205,792611747,Start,Kamel al-Budeiri,Palestinian Territory,5.008,ASIA
206,792615206,C,Zuheir Mohsen,Palestinian Territory,5.008,ASIA
207,793718428,Start,Abdel-Razak al-Yehiyeh,Palestinian Territory,5.008,ASIA
208,794170874,Start,Abu Ali Mustafa,Palestinian Territory,5.008,ASIA
209,794482018,C,Salah Khalaf,Palestinian Territory,5.008,ASIA
210,795004000,Start,Kamal Nasser,Palestinian Territory,5.008,ASIA
211,795648388,Start,Current members of Palestinian Legislative Council,Palestinian Territory,5.008,ASIA
212,796124047,Start,Fathi Hamad,Palestinian Territory,5.008,ASIA
213,796697881,C,Musa Alami,Palestinian Territory,5.008,ASIA
214,796911861,C,Palestinian Declaration of Independence,Palestinian Territory,5.008,ASIA
215,796924085,Stub,Ahmad Kurd,Palestinian Territory,5.008,ASIA
216,796961464,Start,Amin al-Majaj,Palestinian Territory,5.008,ASIA
217,797021613,C,Aziz Duwaik,Palestinian Territory,5.008,ASIA
218,797122322,GA,Ahmed Yassin,Palestinian Territory,5.008,ASIA
219,797806716,C,Hanan Ashrawi,Palestinian Territory,5.008,ASIA
220,798100387,B,Cause of Yasser Arafat's death,Palestinian Territory,5.008,ASIA
221,798262559,Start,Kassim Al-Rimawi,Palestinian Territory,5.008,ASIA
222,798282902,C,Ibrahim Abu-Lughod,Palestinian Territory,5.008,ASIA
223,798331360,Start,Islah Jad,Palestinian Territory,5.008,ASIA
224,798732432,C,Issam Sartawi,Palestinian Territory,5.008,ASIA
225,798913975,GA,Marwan Barghouti,Palestinian Territory,5.008,ASIA
226,799023109,C,Mohammad Shtayyeh,Palestinian Territory,5.008,ASIA
227,799023535,C,Mohammed Dahlan,Palestinian Territory,5.008,ASIA
228,799072017,Start,Nabil Shaath,Palestinian Territory,5.008,ASIA
229,799209138,Start,Nabeel Kassis,Palestinian Territory,5.008,ASIA
230,799802471,GA,Mahmoud al-Mabhouh,Palestinian Territory,5.008,ASIA
231,799858795,Stub,Qadura Fares,Palestinian Territory,5.008,ASIA
232,800067783,C,Leila Khaled,Palestinian Territory,5.008,ASIA
233,800264686,C,Muhammad Nimr al-Hawari,Palestinian Territory,5.008,ASIA
234,800268417,Start,Wadie Haddad,Palestinian Territory,5.008,ASIA
235,800663648,C,Munib al-Masri,Palestinian Territory,5.008,ASIA
236,800718761,C,Suha Arafat,Palestinian Territory,5.008,ASIA
237,800748567,C,Taba Summit,Palestinian Territory,5.008,ASIA
238,800949001,C,Sari Nusseibeh,Palestinian Territory,5.008,ASIA
239,801102332,Start,Education Minister of the Palestinian National Authority,Palestinian Territory,5.008,ASIA
240,801214518,Start,Yaqub al-Ghusayn,Palestinian Territory,5.008,ASIA
241,801299475,C,Khaled Mashal,Palestinian Territory,5.008,ASIA
242,801335922,C,Ziad Abu Ein,Palestinian Territory,5.008,ASIA
243,801507800,Start,Zuhdi Labib Terzi,Palestinian Territory,5.008,ASIA
244,801867039,Start,Raghib al-Nashashibi,Palestinian Territory,5.008,ASIA
245,802082257,Stub,Jamila Abdallah Taha al-Shanti,Palestinian Territory,5.008,ASIA
246,802302873,C,Jibril Rajoub,Palestinian Territory,5.008,ASIA
247,802436402,Stub,Abdelrahman al-Dajani,Palestinian Territory,5.008,ASIA
248,802436510,Stub,Ahmad Agha Duzdar,Palestinian Territory,5.008,ASIA
249,802436655,Stub,Musa al-Alami (mayor of Jerusalem),Palestinian Territory,5.008,ASIA
250,802438226,Start,Hussam ad-Din Jarallah,Palestinian Territory,5.008,ASIA
251,802444446,Stub,As'ad Shukeiri,Palestinian Territory,5.008,ASIA
252,802495061,Start,Eyad al-Sarraj,Palestinian Territory,5.008,ASIA
253,802598153,C,Abdel Aziz al-Rantisi,Palestinian Territory,5.008,ASIA
254,802835604,Start,Fatima Bernawi,Palestinian Territory,5.008,ASIA
255,802968215,C,Ahmad Sa'adat,Palestinian Territory,5.008,ASIA
256,803242304,C,Salah Shehade,Palestinian Territory,5.008,ASIA
257,803433440,B,Mahmoud Abbas,Palestinian Territory,5.008,ASIA
258,804075706,FA,Yasser Arafat,Palestinian Territory,5.008,ASIA
259,804132518,Start,Ahmad Shukeiri,Palestinian Territory,5.008,ASIA
260,804292510,Start,10 agorot controversy,Palestinian Territory,5.008,ASIA
261,804914588,B,2000 Camp David Summit,Palestinian Territory,5.008,ASIA
262,804940228,B,Amin al-Husseini,Palestinian Territory,5.008,ASIA
263,804957442,Start,Adel Zawati,Palestinian Territory,5.008,ASIA
264,805306238,C,Omar Barghouti,Palestinian Territory,5.008,ASIA
265,805321868,C,Arab Money,Palestinian Territory,5.008,ASIA
266,805441005,Start,Ghassan Khatib,Palestinian Territory,5.008,ASIA
267,805811873,Start,Ahmad Toukan,Palestinian Territory,5.008,ASIA
268,806359448,B,Khalil al-Wazir,Palestinian Territory,5.008,ASIA
269,806939531,C,Ismail Haniyeh,Palestinian Territory,5.008,ASIA
270,807364845,GA,Nizar Rayan,Palestinian Territory,5.008,ASIA
271,807439836,Stub,Haifa al-Agha,Palestinian Territory,5.008,ASIA
272,807444564,C,Mahmoud al-Zahar,Palestinian Territory,5.008,ASIA
273,807459429,Start,Hakam Balawi,Palestinian Territory,5.008,ASIA
274,807462818,Start,Yunis Al Astal,Palestinian Territory,5.008,ASIA
275,393822005,Stub,Yos Por,Cambodia,15.497,ASIA
276,671073599,Stub,Than Sina,Cambodia,15.497,ASIA
277,712085445,Stub,Ieu Pannakar,Cambodia,15.497,ASIA
278,713507166,Stub,Taing Sunlay,Cambodia,15.497,ASIA
279,714524609,Stub,Dul Koeun,Cambodia,15.497,ASIA
280,714524624,Stub,Ly Kim Leang,Cambodia,15.497,ASIA
281,714524714,Stub,Chhor Leang Huot,Cambodia,15.497,ASIA
282,714524870,Stub,Thak Lany,Cambodia,15.497,ASIA
283,714525029,Stub,Sok San,Cambodia,15.497,ASIA
284,714528164,Stub,Tep Ngorn,Cambodia,15.497,ASIA
285,714528251,Stub,Chan Cheng,Cambodia,15.497,ASIA
286,714528803,Stub,Nhim Vanda,Cambodia,15.497,ASIA
287,714528886,Stub,Pen Panha,Cambodia,15.497,ASIA
288,714529109,Stub,Sieng Nam,Cambodia,15.497,ASIA
289,714529370,Stub,So Khun,Cambodia,15.497,ASIA
290,714529507,Stub,Nou Sam,Cambodia,15.497,ASIA
291,716812326,Stub,Rath Sarem,Cambodia,15.497,ASIA
292,726543264,Stub,Kong Vibol,Cambodia,15.497,ASIA
293,726543284,Stub,Monh Saphan,Cambodia,15.497,ASIA
294,726543336,Stub,Uk Rabun,Cambodia,15.497,ASIA
295,726543872,Stub,Ay Khorn,Cambodia,15.497,ASIA
296,726688556,Stub,Oung Ouen,Cambodia,15.497,ASIA
297,730617957,Stub,List of Deputy Prime Ministers of Cambodia,Cambodia,15.497,ASIA
298,732331264,Stub,Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,15.497,ASIA
299,735512767,Stub,Chuop Hell,Cambodia,15.497,ASIA
300,736093077,Stub,Kong Korm,Cambodia,15.497,ASIA
301,736538934,Stub,Chan Nak,Cambodia,15.497,ASIA
302,736539294,Stub,Huy Kanthoul,Cambodia,15.497,ASIA
303,736715950,Stub,Vorn Vet,Cambodia,15.497,ASIA
304,737025619,Stub,Yat Hwaidi,Cambodia,15.497,ASIA
305,737804996,Stub,Khim Tit,Cambodia,15.497,ASIA
306,738180794,Start,Son Chhay,Cambodia,15.497,ASIA
307,738478052,Start,Kep Chuktema,Cambodia,15.497,ASIA
308,738512371,Stub,Nuth Rumduol,Cambodia,15.497,ASIA
309,738804016,Stub,Khieu Thavika,Cambodia,15.497,ASIA
310,738987957,Start,Norodom Phurissara,Cambodia,15.497,ASIA
311,738989624,Stub,Daran Kravanh,Cambodia,15.497,ASIA
312,738992094,Start,Sisowath Monireth,Cambodia,15.497,ASIA
313,738992441,Stub,Sisowath Youtevong,Cambodia,15.497,ASIA
314,739217591,Stub,Ou Chanrith,Cambodia,15.497,ASIA
315,741680078,Stub,Yem Ponhearith,Cambodia,15.497,ASIA
316,741923960,Stub,Chrea Sochenda,Cambodia,15.497,ASIA
317,742006559,Stub,Vong Kan,Cambodia,15.497,ASIA
318,742067282,Stub,Yos Son,Cambodia,15.497,ASIA
319,744291790,Stub,Hun Many,Cambodia,15.497,ASIA
320,747052284,Stub,Chhean Vam,Cambodia,15.497,ASIA
321,747052769,Stub,Oum Chheang Sun,Cambodia,15.497,ASIA
322,747053219,Stub,Norodom Kantol,Cambodia,15.497,ASIA
323,747555899,Start,Khieu Rada,Cambodia,15.497,ASIA
324,747628491,Stub,Ieu Koeus,Cambodia,15.497,ASIA
325,747784875,Start,Cheng Heng,Cambodia,15.497,ASIA
326,747945224,Start,Mok Mareth,Cambodia,15.497,ASIA
327,748137241,Stub,Kieng Vang,Cambodia,15.497,ASIA
328,748488170,Stub,Sisowath Watchayavong,Cambodia,15.497,ASIA
329,749156496,Stub,Sokhom So,Cambodia,15.497,ASIA
330,749304614,Stub,Min Sean,Cambodia,15.497,ASIA
331,749338398,Stub,Y Chhean,Cambodia,15.497,ASIA
332,749357713,Stub,Poa Bun Sreu,Cambodia,15.497,ASIA
333,749387326,Stub,Toan Vanthara,Cambodia,15.497,ASIA
334,749388858,Stub,Sok Soty,Cambodia,15.497,ASIA
335,749396845,Stub,Pal Sam Oeun,Cambodia,15.497,ASIA
336,749470256,Stub,Ngor Sovann,Cambodia,15.497,ASIA
337,749510551,Stub,Kea Sahorn,Cambodia,15.497,ASIA
338,749517390,Stub,Suos Kanan,Cambodia,15.497,ASIA
339,749537624,Stub,Im Chhun Lim,Cambodia,15.497,ASIA
340,749537772,Stub,Tram Iv Teuk,Cambodia,15.497,ASIA
341,749561164,Stub,Hem Khorn,Cambodia,15.497,ASIA
342,749569686,Stub,Um Nhanh,Cambodia,15.497,ASIA
343,749570183,Stub,Poa Try,Cambodia,15.497,ASIA
344,749683882,Stub,Yim Chhaily,Cambodia,15.497,ASIA
345,749704384,Stub,Ith Prang,Cambodia,15.497,ASIA
346,749710492,Stub,Try Chheang Huot,Cambodia,15.497,ASIA
347,749945690,Stub,Suk Sam Eng,Cambodia,15.497,ASIA
348,749967879,Stub,Nim Thot,Cambodia,15.497,ASIA
349,749970189,Stub,Ngin Khorn,Cambodia,15.497,ASIA
350,749977252,Stub,Sorn Inthor,Cambodia,15.497,ASIA
351,750055098,Stub,You Hockry,Cambodia,15.497,ASIA
352,750074445,Stub,Samrith Pech,Cambodia,15.497,ASIA
353,750077042,Stub,Un Neung,Cambodia,15.497,ASIA
354,750179637,Stub,Bou Thang,Cambodia,15.497,ASIA
355,751227068,Start,Peter Khoy Saukam,Cambodia,15.497,ASIA
356,752967379,Start,Tuot Saron,Cambodia,15.497,ASIA
357,752979708,Stub,Phoeurng Sackona,Cambodia,15.497,ASIA
358,753086260,Stub,Nhek Bun Chhay,Cambodia,15.497,ASIA
359,753684881,Stub,Cheam Yeab,Cambodia,15.497,ASIA
360,753689952,Stub,Chea Poch,Cambodia,15.497,ASIA
361,753692176,Stub,Chin Bun Sean,Cambodia,15.497,ASIA
362,753695057,Stub,Chhim Siek Leng,Cambodia,15.497,ASIA
363,753711610,Stub,Chea Soth,Cambodia,15.497,ASIA
364,754318281,Stub,Ke Pauk,Cambodia,15.497,ASIA
365,754944744,Stub,Kong Sam Ol,Cambodia,15.497,ASIA
366,755504987,Stub,Pho Proeung,Cambodia,15.497,ASIA
367,756129985,Stub,San Yun,Cambodia,15.497,ASIA
368,756722795,Start,Tiv Ol,Cambodia,15.497,ASIA
369,758665997,C,Son Ngoc Thanh,Cambodia,15.497,ASIA
370,759510662,Stub,Monovithya Kem,Cambodia,15.497,ASIA
371,761412104,Stub,Mom Chim Huy,Cambodia,15.497,ASIA
372,761941416,Start,Norodom Norindeth,Cambodia,15.497,ASIA
373,763098565,Start,Hem Heng,Cambodia,15.497,ASIA
374,763098588,Stub,Chum Bunrong,Cambodia,15.497,ASIA
375,763316692,Stub,Duong Vanna,Cambodia,15.497,ASIA
376,763968613,Stub,Chhay Tan,Cambodia,15.497,ASIA
377,765244120,Stub,Keat Chhon,Cambodia,15.497,ASIA
378,765375452,Stub,Ang Vong Vathana,Cambodia,15.497,ASIA
379,766576352,Stub,Keo Remy,Cambodia,15.497,ASIA
380,766834612,Start,Sun Chanthol,Cambodia,15.497,ASIA
381,766836319,Stub,Khieu Kanharith,Cambodia,15.497,ASIA
382,767217618,Stub,Chay Saing Yun,Cambodia,15.497,ASIA
383,767218020,Stub,Ek Sam Ol,Cambodia,15.497,ASIA
384,767867369,Stub,Ouk Rabun,Cambodia,15.497,ASIA
385,768488633,Stub,Hun Phoeung,Cambodia,15.497,ASIA
386,769381746,Stub,Nguon Nhel,Cambodia,15.497,ASIA
