,page,country,rev_id,quality,population,region
1655,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,Stub,,
1670,Juan José Guzmán,Salvadoran,707519272,Stub,,
1672,Niko Lee Hang,Samoan,707525246,Stub,,
1673,Tuu'u Anasi'i Leota,Samoan,707525315,Stub,,
1676,Template:SouthKorea-politician-stub,South Korean,707538833,Stub,,
1685,Vladimír Hučín,Czech Republic,707597623,Start,,
1702,Tuiloma Pule Lameko,Samoan,707750982,Stub,,
1710,Juan Ramón Salgado,Hondura,707824636,Stub,,
1734,André-Philippe Futa,"Congo, Dem. Rep. of",708009445,Start,,
1749,Juan José Cañas,Salvadoran,708089470,Stub,,
1781,Gérard Gifuza,"Congo, Dem. Rep. of",708358969,Stub,,
1782,Koloso Sumaili,"Congo, Dem. Rep. of",708359204,Stub,,
1869,Tuo Fozié,Ivorian,708711840,Start,,
1870,Terry Le Main,Jersey,708727189,Start,,
1871,Paul Routier,Jersey,708727221,Start,,
1881,Mike Vibert,Jersey,708766654,Start,,
1915,Lee Moore (politician),Saint Kitts and Nevis,709078753,Stub,,
1916,Joseph Parry (politician),Saint Kitts and Nevis,709078817,Start,,
2008,Pavla Topolánková,Czech Republic,709676840,Start,,
2049,Harold Dalson,Saint Lucian,709912281,Stub,,
2050,Keith Mondesir,Saint Lucian,709912316,C,,
2051,Rufus Bousquet,Saint Lucian,709914459,Start,,
2130,Sean Power (Jersey),Jersey,710334019,Stub,,
2154,Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,Stub,,
2161,Leonard Norman,Jersey,710503170,Start,,
2176,José Gregorio Salazar,Salvadoran,710543364,Start,,
2178,Mike Torode,Guernsey,710546915,Stub,,
2182,Diego Vigil Cocaña,Salvadoran,710555824,Start,,
2185,Nicolás Espinoza,Salvadoran,710578840,Start,,
2187,Léon Emmanuel Monnet,Ivorian,710585105,Stub,,
2192,Juan José Alvarado,Hondura,710598059,Stub,,
2215,Pedro Barriere,Salvadoran,710677703,Start,,
2240,Joaquín de San Martín,Salvadoran,710828020,Start,,
2309,Juan Ángel Almendares Bonilla,Hondura,711170881,Stub,,
2335,Trifun Kostovski,Macedonia,711339559,Start,,
2356,Washington Malianga,Rhodesian,711506001,Stub,,
2369,Josef Barák,Czech Republic,711675761,Stub,,
2451,Ronald Snapper,Rhodesian,712233907,Stub,,
2454,Rogerio Lobato,East Timorese,712249441,Start,,
2487,Antonín Švehla,Czech Republic,712426548,Stub,,
2555,Peter Waterworth,Montserratian,712713704,Stub,,
2585,Template:SouthKorea-mayor-stub,South Korean,712862189,Stub,,
2688,Pierre Djédji Amondji,Ivorian,713176326,Stub,,
2691,Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149,Stub,,
2693,Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718,Stub,,
2740,Diabete Aboubacar Siriki,Ivorian,713381693,RevisionNotFound: Could not find revision ({revision}:713381693),,
2786,Kisula Ngoy,"Congo, Dem. Rep. of",713583472,Stub,,
2808,Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,
2813,Ivan Hribar,Carniolan,713766077,C,,
2870,Andrias Christian Evensen,Faroese,714088539,Start,,
2878,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941,Stub,,
2884,Alois Anderka,Czech Republic,714174726,Stub,,
2889,Auguste Denise,Ivorian,714183793,Stub,,
2893,Philippe Yacé,Ivorian,714200423,Stub,,
2902,Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527,Start,,
2908,Laauli Leuatea Polataivao,Samoan,714244543,Stub,,
2911,José Félix Quirós,Salvadoran,714256648,Stub,,
2922,Dimitar Dimitrov (writer),Macedonia,714327408,Start,,
3066,Jean-Baptiste Mockey,Ivorian,714822110,Stub,,
3182,Joseph Orpen,Cape Colony,715016315,C,,
3245,Hákun Djurhuus,Faroese,715330944,Stub,,
3253,Oscar Kilgore,Hondura,715365023,Stub,,
3297,Ivan Dejmal,Czech Republic,715467197,Start,,
3305,Jógvan Justinusson,Faroese,715490721,Stub,,
3368,Franz Macoun,Czech Republic,715640391,Stub,,
3374,Jagnula Kunovska,Macedonia,715648720,Start,,
3430,Edgar Allen Christian,Pitcairn Islands,715823848,Stub,,
3431,Frederick Martin Christian,Pitcairn Islands,715823876,Stub,,
3432,John Lorenzo Christian,Pitcairn Islands,715823908,Stub,,
3508,Andrass Samuelsen,Faroese,716137698,Stub,,
3527,Kim Seung-kew,South Korean,716323288,Stub,,
3530,Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,Start,,
3535,Len Ishmael,Saint Lucian,716376965,Stub,,
3554,Gregor Žerjav,Carniolan,716507073,Start,,
3571,Karel Dežman,Carniolan,716574519,C,,
3612,Willem Cornelis Janse van Rensburg,South African Republic,716703178,Start,,
3616,Karel Urbánek,Czech Republic,716711851,Stub,,
3672,Roberto Flores Bermúdez,Hondura,716882219,Stub,,
3721,Stanislav Kochiev,South Ossetian,717215546,Start,,
3725,Valeriy Hubulov,South Ossetian,717241760,Start,,
3733,Benjamin Stanley Young,Pitcairn Islands,717259837,Stub,,
3740,Edward Quintal,Pitcairn Islands,717338734,Stub,,
3741,Arthur Quintal I,Pitcairn Islands,717340951,Stub,,
3742,Fletcher Christian II,Pitcairn Islands,717340996,Stub,,
3743,Moses Young,Pitcairn Islands,717341064,Stub,,
3754,Matthew McCoy (Magistrate),Pitcairn Islands,717345596,Stub,,
3755,Arthur Quintal II,Pitcairn Islands,717346443,Stub,,
3773,Josip Vilfan,Carniolan,717350390,B,,
3774,Charles Christian II,Pitcairn Islands,717350782,Stub,,
3819,Seo Young-kyo,South Korean,717405394,Start,,
3824,Vladimír Klokočka,Czech Republic,717429365,Start,,
3826,To’alepaiali’i Toeolesulusulu Salesa III,Samoan,717442173,Stub,,
3864,Tou Travel Ariki,Cook Island,717545630,Stub,,
3886,Piho Rua,Cook Island,717593716,Start,,
3915,Luka Svetec,Carniolan,717669055,Start,,
3969,María Josefa Lastiri,Hondura,717808509,Start,,
3988,Norris Henry Young,Pitcairn Islands,717867039,Stub,,
3998,Robert Woonton,Cook Island,717897925,Start,,
4000,Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,Stub,,
4009,Ben Shenton,Jersey,717911161,Start,,
4014,Hilal Al Sarmi,Omani,717915660,Stub,,
4029,Stevo Pendarovski,Macedonia,717927538,Start,,
4070,Eduardo Bueso,Hondura,718132526,Stub,,
4133,Klaas Afrikaner,Cape Colony,718462130,Stub,,
4256,Delphin Kyubwa,"Congo, Dem. Rep. of",718961623,Stub,,
4267,Namulau’ulu Vavae Tuilagi,Samoan,718995854,Stub,,
4328,Laurie Morgan,Guernsey,719122168,Stub,,
4342,Ngereteina Puna,Cook Island,719186872,Stub,,
4363,Christopher J. Turner,Montserratian,719256142,Start,,
4436,Elvin Santos,Hondura,719637124,Start,,
4452,Lefau Harry Schuster,Samoan,719691980,Stub,,
4458,Arthur Galsworthy,Pitcairn Islands,719706841,Stub,,
4522,Manuel Magalhaes de Oliveira,East Timorese,720011934,Stub,,
4524,Jaromír Jermář,Czech Republic,720027362,Stub,,
4659,Sam Condor,Saint Kitts and Nevis,720360218,Stub,,
4671,Aníbal Portillo,Salvadoran,720419598,Stub,,
4673,Robert Le Masurier,Jersey,720430005,Stub,,
4674,John Allen (diplomat),Tokelauan,720435378,Stub,,
4687,José Francisco Valiente,Salvadoran,720478176,Stub,,
4711,Joseph Nathaniel France,Saint Kitts and Nevis,720572188,Stub,,
4725,Diego de Holguín,Salvadoran,720623176,Stub,,
4726,Sigfrido Reyes Morales,Salvadoran,720633452,Start,,
4831,Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135,Start,,
4933,Zurab Achba,Abkhazia,721094337,Stub,,
4959,José Endundo Bononge,"Congo, Dem. Rep. of",721206007,Stub,,
5054,Rostislav Khugayev,South Ossetian,721687759,Start,,
5067,Artur London,Czech Republic,721736524,Start,,
5116,Álvur Kirke,Faroese,721938213,Stub,,
5139,Marlon Pascua,Hondura,722006681,Stub,,
5177,Domingo Vásquez,Hondura,722195895,Stub,,
5198,Mohammed Al Rumhi,Omani,722258362,Stub,,
5203,Peter Harwood,Guernsey,722295712,Stub,,
5212,Rikard Long,Faroese,722336332,Start,,
5213,Sigurð Joensen,Faroese,722336979,Start,,
5254,Enrique Flores Lanza,Hondura,722442093,Stub,,
5284,Jógvan Poulsen (1854–1941),Faroese,722590461,Start,,
5326,Martin Storey (politician),Guernsey,722806951,Stub,,
5352,František Sláma (politician),Czech Republic,722937211,Stub,,
5368,Kevin C. Lewis,Jersey,722988899,Stub,,
5385,Lee Wu-jong,South Korean,723064614,Stub,,
5412,Themba N. Masuku,Swaziland,723121670,Stub,,
5423,Jan Kubice,Czech Republic,723151837,Stub,,
5425,Tuitama Talalelei Tuitama,Samoan,723152770,Stub,,
5426,Renan Inestroza,Hondura,723153856,Stub,,
5440,Kamil Jankovský,Czech Republic,723207013,Stub,,
5458,Manuel Enrique Araujo,Salvadoran,723277343,Start,,
5466,Mauricio Oliva,Hondura,723304712,Stub,,
5528,Christian Groepe,Cape Colony,723563811,B,,
5529,Karim Mammadbeyov,Dagestani,723563977,Start,,
5594,Shota Shamatava,Abkhazia,723736482,Stub,,
5640,Shawn Richards,Saint Kitts and Nevis,723892438,Start,,
5643,Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158,Stub,,
5724,Gordan Georgiev,Macedonia,724075817,Stub,,
5750,Template:SaintLuciaPMs,Saint Lucian,724208694,Stub,,
5798,Slobodan Čašule,Macedonia,724421215,Stub,,
5816,Spiro Ristovski,Macedonia,724502588,Stub,,
5859,Jacob Vestergaard,Faroese,724674137,Start,,
5863,Václav Vacek,Czech Republic,724691268,Stub,,
5919,Rob Duhamel,Jersey,724891592,Stub,,
5940,William Hume (Cape politician),Cape Colony,724976433,Start,,
5955,Johan Simonsen,Faroese,725030656,Stub,,
5980,Armando Calidonio,Hondura,725105423,Stub,,
5994,Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090,Stub,,
6110,Kári P. Højgaard,Faroese,725288194,Start,,
6121,Carlos Urbizo,Hondura,725343188,Stub,,
6127,Čestmír Císař,Czech Republic,725362978,C,,
6151,Mauricio Villeda,Hondura,725459626,Stub,,
6155,Duvalle,Saint Vincent and the Grenadines,725462724,Start,,
6168,Valon Saracini,Macedonia,725551017,Start,,
6169,Séry Bailly,Ivorian,725560428,Start,,
6170,Mile Zechevikj,Macedonia,725560890,Stub,,
6171,Nikola Spasovski,Macedonia,725570133,Stub,,
6172,Vančo Šontevski,Macedonia,725570918,Stub,,
6173,Risto Gjorgjiev,Macedonia,725570977,Stub,,
6174,Vlado Misajlovski,Macedonia,725577168,Stub,,
6176,Miguel Andonie Fernández,Hondura,725591760,Stub,,
6205,Patrick J. D. Ryan,Jersey,725737326,Stub,,
6222,Dominic Fedee,Saint Lucian,725910626,Stub,,
6223,William Carey (Bailiff of Guernsey),Guernsey,725970969,Stub,,
6225,Howard Fergus,Montserratian,725980651,Start,,
6257,Yolani Batres,Hondura,726246603,Stub,,
6270,Philip Pierre,Saint Lucian,726374537,Stub,,
6271,Janez Evangelist Krek,Carniolan,726434981,Start,,
6412,Luca Rovinalti,Czech Republic,726666131,Stub,,
6434,Le Mamea Matatumua Ata,Samoan,726724077,Stub,,
6435,Tole’afoa Solomona To’ailoa,Samoan,726724455,Stub,,
6451,Kamil Krofta,Czech Republic,726762194,Start,,
6459,Manuel Antonio Alberto Zelaya,Hondura,726766670,Stub,,
6487,Yahya Al Khusaibi,Omani,726862168,Stub,,
6581,List of Danish High Commissioners in Greenland,Greenlandic,728026000,Stub,,
6617,List of Presidents of the House of Ariki,Cook Island,728378933,Stub,,
6628,Milan Štěch,Czech Republic,728506208,Stub,,
6636,Ksente Bogoev,Macedonia,728545577,Stub,,
6730,Laurent Akoun,Ivorian,729142061,Stub,,
6747,Kristin Michelsen,Faroese,729422866,C,,
6748,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,Start,,
6749,David Jones (Guernsey politician),Guernsey,729428763,Stub,,
6750,Etbin Henrik Costa,Carniolan,729435354,Start,,
6809,Antonín Janoušek,Czech Republic,729912438,Stub,,
6847,Bedřich Geminder,Czech Republic,730146355,Stub,,
6933,Hunter J. Francois,Saint Lucian,730756593,Stub,,
6947,Joaquín Eufrasio Guzmán,Salvadoran,730854147,Stub,,
6949,Francisco Malespín,Salvadoran,730864227,Stub,,
7016,Jonathan Sinclair,Pitcairn Islands,731458576,Stub,,
7063,James Sivewright,Cape Colony,731817397,C,,
7070,William Downes Griffith,Cape Colony,731908828,Start,,
7089,Neil Walter,Tokelauan,732100626,Start,,
7292,Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797,Stub,,
7336,Daniel Aka Ahizi,Ivorian,733596387,Stub,,
7348,Rodrigo Ávila,Salvadoran,733791467,Start,,
7485,Lisbeth L. Petersen,Faroese,734668075,Start,,
7529,Karel Domin,Czech Republic,735174171,Start,,
7548,Bamba Mamadou,Ivorian,735408389,Stub,,
7568,Símun av Skarði,Faroese,735578210,Stub,,
7648,Mario Aguiñada Carranza,Salvadoran,736491718,Start,,
7659,Ferdinand Odžakov,Macedonia,736545789,Stub,,
7741,Harry Struben,South African Republic,736854878,Start,,
7755,Vincent Floissac,Saint Lucian,736890123,Start,,
7756,George Odlum,Saint Lucian,736890129,GA,,
7772,Philippe de Carteret II,Jersey,737014330,Start,,
7790,Patrice Nisbett,Saint Kitts and Nevis,737165159,Stub,,
7792,Ashley Greenwood,Montserratian,737169369,Start,,
7806,John Sweet Distin,Cape Colony,737348283,Start,,
7830,François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634,Stub,,
7839,Hubert Ripka,Czech Republic,737562321,Start,,
7867,João Viegas Carrascalão,East Timorese,737687072,Start,,
8081,Tangaroa Tangaroa,Cook Island,737975585,Start,,
8145,David Rodríguez Rivera,Salvadoran,738362225,Start,,
8148,Slobodan Bogoevski,Macedonia,738375479,Stub,,
8155,Ministry of Environment and Physical Planning,Macedonia,738431228,Stub,,
8252,Mihael Preiss,Carniolan,738955897,Stub,,
8278,Lealailepule Rimoni Aiafi,Samoan,738999542,Start,,
8310,Va'ai Papu Vailupe,Samoan,739170575,Start,,
8311,Palusalue Fa’apo II,Samoan,739170586,Start,,
8312,Tolofuaivalelei Falemoe Lei’ataua,Samoan,739170620,Start,,
8313,A'eau Peniamina,Samoan,739170646,Start,,
8314,Patu Ativalu,Samoan,739170663,Stub,,
8332,Charles Antrobus,Saint Vincent and the Grenadines,739296460,Stub,,
8503,Sua Sulu'ape Paulo II,Samoan,740773350,C,,
8535,Connétable (Jersey and Guernsey),Jersey,740998059,Start,,
8571,Carlos Ezeta,Salvadoran,741190933,Stub,,
8621,Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,
8641,Karel Lavrič,Carniolan,741794691,C,,
8642,Petr Janyška,Czech Republic,741798984,Stub,,
8713,Gunnar Martens,Greenlandic,742150479,Stub,,
8739,Andrés Ignacio Menéndez,Salvadoran,742279612,Stub,,
8742,Abraham Alvarenga Urbina,Hondura,742298045,Stub,,
8753,Alan J. H. Maclean,Jersey,742413962,Stub,,
8793,Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920,Stub,,
8802,Lyndon Trott,Guernsey,742737553,Stub,,
8822,Jonathan Le Tocq,Guernsey,742872067,Start,,
8823,Graham Dorey,Guernsey,742872751,Stub,,
8837,Alan Parastaev,Ossetian,743018109,Start,,
8844,Mulumba Lukoji,"Congo, Dem. Rep. of",743061455,Stub,,
8865,Gerardo Barrios,Salvadoran,743252984,Start,,
8882,Jana Juřenčáková,Czech Republic,743423675,Stub,,
8883,Simeon Aké,Ivorian,743428650,Start,,
9044,Tim Francis,Tokelauan,744394596,Stub,,
9071,Jaromír Nečas,Czech Republic,744448745,Stub,,
9099,Martial Joseph Ahipeaud,Ivorian,744522699,Stub,,
9141,Siegfried Taub,Czech Republic,744612257,Start,,
9144,Lovro Toman,Carniolan,744636212,Start,,
9175,Template:SwaziPMs,Swaziland,744873977,Stub,,
9188,Innocent Anaky,Ivorian,744920472,Start,,
9228,Asiata Sale'imoa Va'ai,Samoan,745204530,Stub,,
9256,Michel Couriard,Jersey,745348113,Start,,
9353,Agapito Robleda Castro,Hondura,745838578,Start,,
9362,David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,Stub,,
9391,César Castellanos (politician),Hondura,746117875,Stub,,
9508,Záviš Kalandra,Czech Republic,746707985,Stub,,
9552,John Thomas Eustace,Cape Colony,746923352,C,,
9649,Gerald B. Clarke,Rhodesian,747497059,Stub,,
9667,Moses Mathendele Dlamini,Swaziland,747579157,Start,,
9728,Bogumil Vošnjak,Carniolan,747945423,Start,,
9757,Boris Chochiev,South Ossetian,748071193,Stub,,
9794,Simon Young (magistrate),Pitcairn Islands,748179514,Stub,,
9832,Aiono Nonumalo Sofara,Samoan,748298776,Stub,,
9838,Mata'afa Faumuina Fiame Mulinu'u I,Samoan,748384437,Start,,
9854,Rubén Zamora,Salvadoran,748418081,Start,,
9862,De Vic Carey,Guernsey,748457839,Start,,
9866,Fiame Mata'afa Faumuina Mulinu'u II,Samoan,748477510,C,,
9867,Finnbogi Ísakson,Faroese,748477895,Start,,
9909,Adolfo Lionel Sevilla,Hondura,748832681,Stub,,
9976,Brian Young (magistrate),Pitcairn Islands,749046736,Stub,,
10006,Vicente Tosta,Hondura,749185736,Start,,
10105,Alexandre Luba Ntambo,"Congo, Dem. Rep. of",749397818,Stub,,
10121,Oscar Kashala,"Congo, Dem. Rep. of",749419078,Start,,
10198,Alois Rašín,Czech Republic,749575931,Start,,
10235,Aníbal Delgado Fiallos,Hondura,749663646,Start,,
10249,Toribio Aguilera,Hondura,749695259,Stub,,
10271,First Lady of Ivory Coast,Ivorian,749766207,Stub,,
10309,Bedřich Reicin,Czech Republic,749945936,Start,,
10325,Yury Morozov,South Ossetian,749962491,Start,,
10342,Antonio José Cañas,Salvadoran,749973666,Start,,
10344,José Atilio Benítez Parada,Salvadoran,749976455,Stub,,
10366,"List of members of the Løgting, 1988–90",Faroese,750074079,Start,,
10375,Template:PalauPresidents,Palauan,750097175,Stub,,
10424,Brandur Sandoy,Faroese,750167873,Start,,
10443,Jeremias Ziervogel,Cape Colony,750299694,Start,,
10515,Jean-Marie Runiga Lugerero,"Congo, Dem. Rep. of",750725157,Stub,,
10534,Queen Pokou,Ivorian,750972336,Start,,
10543,Vangel Ajanovski-Oče,Macedonia,751054819,Stub,,
10558,Christian Malanga,"Congo, Dem. Rep. of",751152656,C,,
10598,Faustin Birindwa,"Congo, Dem. Rep. of",751361476,Stub,,
10610,Joshua Hill (Pitcairn Island leader),Pitcairn Islands,751464749,Stub,,
10644,Bernd Richter,Czech Republic,751718674,Stub,,
10814,Kamil Kalina,Czech Republic,753045804,Stub,,
10815,Manuel Carrascalão,East Timorese,753061850,Stub,,
10920,Chikez Diemu,"Congo, Dem. Rep. of",753704394,Stub,,
10986,Guy de Faye,Jersey,754330569,Start,,
10988,Minister of Foreign Affairs (Democratic Republic of the Congo),"Congo, Dem. Rep. of",754344309,Start,,
11038,George Fergusson (diplomat),Pitcairn Islands,754790610,C,,
11057,James Russell McCoy,Pitcairn Islands,754935959,Start,,
11058,Matthew Edmond McCoy,Pitcairn Islands,754935982,Stub,,
11067,"List of members of the Løgting, 2015–19",Faroese,754952121,Start,,
11068,"List of members of the Løgting, 2011–15",Faroese,754952298,Start,,
11069,"List of members of the Løgting, 2008–11",Faroese,754952557,Start,,
11070,"List of members of the Løgting, 2004–08",Faroese,754952620,Start,,
11071,"List of members of the Løgting, 2002–04",Faroese,754952690,Start,,
11117,Sumbat Saakian,Abkhazia,755193428,Stub,,
11177,Richard Sacher,Czech Republic,755428089,Stub,,
11179,Speaker of the Cook Islands Parliament,Cook Island,755442454,Start,,
11183,Émile Boga Doudou,Ivorian,755479236,C,,
11210,Fran Levstik,Carniolan,755713654,Start,,
11262,Adalgisa Magno Guterres,East Timorese,755908563,Stub,,
11263,María do Céu,East Timorese,755908564,Start,,
11296,Adrien Jules Jean Bonhoure,Ivorian,756060260,Stub,,
11342,Václav Fischer,Czech Republic,756317863,Start,,
11346,Emil Kirjas,Macedonia,756341426,Stub,,
11371,Edouard Kiove Kola,"Congo, Dem. Rep. of",756510063,Stub,,
11410,Bárður á Steig Nielsen,Faroese,756602743,Start,,
11464,Edmund Joensen,Faroese,756654638,Stub,,
11467,Jørgen Niclasen,Faroese,756654880,Stub,,
11634,Sara Olsvig,Greenlandic,756830216,Stub,,
11844,Ezechiel Joseph,Saint Lucian,757044849,Stub,,
11848,Maria Heather,Cook Island,757064438,Stub,,
11849,Tetangi Matapo,Cook Island,757064793,Stub,,
11850,Selina Napa,Cook Island,757064845,Stub,,
11851,Dorice Reid,Cook Island,757065079,B,,
11852,Ngai Tupa,Cook Island,757065152,Stub,,
11881,Teresina Bodkin,Montserratian,757086597,Stub,,
11882,Shirley Osborne,Montserratian,757086621,Stub,,
11884,Nora Gúnera de Melgar,Hondura,757092750,Stub,,
11886,Kathrine Chemnitz,Greenlandic,757102071,Start,,
11889,Augusta Salling,Greenlandic,757103267,Stub,,
11898,Leilani Reklai,Palauan,757106724,Stub,,
11899,Matatumua Maimoana,Samoan,757107378,Start,,
11900,Laulu Fetauimalemau Mata'afa,Samoan,757107952,C,,
11956,Fahd bin Mahmoud al Said,Omani,757164616,Stub,,
12553,Božena Viková-Kunětická,Czech Republic,757336278,Stub,,
12656,Taymuraz Mamsurov,Ossetian,757343822,Start,,
