id	name	city	zipcode	street	houseNumber	telephone	fax	email	website	longitude	latitude	.
9093581	Arbeitsgericht Flensburg	Flensburg	24937	Südergraben	55	+49 461 89382	+49 461 89386	post.arbgfl@arbgsh.landsh.de	www.landesarbeitsgericht.schleswig-holstein.de	9.43390214028038	54.783199285614685	.
9093686	Landesarbeitsgericht Schleswig-Holstein	Kiel	24114	Deliusstraße	22	+49 431 6040	+49 431 604-4100	post.lagsh@arbgsh.landsh.de	www.landesarbeitsgericht.schleswig-holstein.de	10.12055344218182	54.318642516312735	.
9093795	Arbeitsgericht Kiel	Kiel	24114	Deliusstraße	22	+49 431 6040	+49 431 604-4000	post.arbgki@arbgsh.landsh.de	www.landesarbeitsgericht.schleswig-holstein.de	10.12055344218182	54.318642516312735	.
9093878	Landgericht Flensburg	Flensburg	24937	Südergraben	22	+49 461 89-0	+49 461 89-295	verwaltung@lg-flensburg.landsh.de	www.lg-flensburg.schleswig-holstein.de	9.433699699413792	54.784032755951166	.
9093895	Landgericht Itzehoe	Itzehoe	25524	Theodor-Heuss-Platz 3		+49 4821 66-0	+49 4821 66-1071	verwaltung@lg-itzehoe.landsh.de	www.lg-itzehoe.schleswig-holstein.de			.
9093912	Landgericht Kiel	Kiel	24114	Schützenwall	31 - 35	+49 431 604-0	+49 431 604-1830	verwaltung@lg-kiel.landsh.de	www.lg-kiel.schleswig-holstein.de	10.118027043906515	54.318024501342	.
9093929	Landgericht Lübeck	Lübeck, Hansestadt	23568	Am Burgfeld	7	+49 451 371-0	+49 451 371-1519	verwaltung@lg-luebeck.landsh.de	www.lg-luebeck.schleswig-holstein.de	10.696687488261345	53.87809991419475	.
9093946	Arbeitsgericht Lübeck	Lübeck, Hansestadt	23568	Neustraße	2 a	+49 451 389780	+49 451 32229	post.arbghl@arbgsh.landsh.de	www.landesarbeitsgericht.schleswig-holstein.de	10.69626197491012	53.876917337133406	.
9093963	Arbeitsgericht Neumünster	Neumünster	24534	Gartenstraße	24	+49 4321 40970	+49 4321 48310	post.arbgnms@arbgsh.landsh.de	www.landesarbeitsgericht.schleswig-holstein.de	9.982156464410064	54.06639017463051	.
9098113	Schleswig-Holsteinisches Finanzgericht	Kiel	24105	Beselerallee	39 - 41	+49 431 988-0	+49 431 988-3846	verwaltung@fg-kiel.landsh.de	www.finanzgericht.schleswig-holstein.de	10.138163540082404	54.33625850734928	.
9098130	Schleswig-Holsteinisches Oberverwaltungsgericht	Schleswig	24837	Brockdorff-Rantzau-Straße	13	+49 4621 86-0	+49 4621 86-1277	verwaltung@ovg.landsh.de	www.oberverwaltungsgericht.schleswig-holstein.de	9.535220754527764	54.50549915464915	.
9098164	Schleswig-Holsteinisches Oberlandesgericht	Schleswig	24837	Gottorfstraße	2	+49 4621 86-0	+49 4621 86-1372	verwaltung@olg.landsh.de	www.olg.schleswig-holstein.de	9.541331959301909	54.50837451270589	.
9098181	Schleswig-Holsteinisches Verwaltungsgericht	Schleswig	24837	Brockdorff-Rantzau-Straße	13	+49 4621 86-0	+49 4621 86-1277	verwaltung@ovg.landsh.de	www.verwaltungsgericht.schleswig-holstein.de	9.535220754527764	54.50549915464915	.
9098365	Sozialgericht Lübeck	Lübeck, Hansestadt	23568	Eschenburgstraße	3	+49 451 371-0	+49 451 371-1350	verwaltung@sg-luebeck.landsh.de	www.sozialgericht-luebeck.schleswig-holstein.de	10.698054503000384	53.881676479029224	.
9098382	Staatsanwaltschaft bei dem Schleswig-Holsteinischen Oberlandesgericht	Schleswig	24837	Gottorfstraße	2	+49 4621 86-0	+49 4621 86-1341	verwaltung@gsta.landsh.de	www.generalstaatsanwalt.schleswig-holstein.de	9.541331959301909	54.50837451270589	.
9098399	Staatsanwaltschaft Flensburg	Flensburg	24937	Südergraben	22	+49 461 89-0	+49 461 89-389	verwaltung@stafl.landsh.de	www.sta-flensburg.schleswig-holstein.de	9.433699699413792	54.784032755951166	.
9098416	Staatsanwaltschaft Itzehoe	Itzehoe	25524	Feldschmiedekamp	2	+49 4821 66-0	+49 4821 66-1777	verwaltung@staiz.landsh.de	www.sta-itzehoe.schleswig-holstein.de	9.51801293854907	53.92563633244135	.
9098433	Staatsanwaltschaft Kiel	Kiel	24114	Schützenwall	31 - 35	+49 431 604-0	+49 431 604-3469	verwaltung@staki.landsh.de	www.sta-kiel.schleswig-holstein.de	10.118027043906515	54.318024501342	.
9098450	Staatsanwaltschaft Lübeck	Lübeck, Hansestadt	23568	Travemünder Allee	9	+49 451 371-0	+49 451 371-1399	verwaltung@stahl.landsh.de	www.sta-luebeck.schleswig-holstein.de	10.699797204251077	53.8814329732712	.
9098961	Sozialgericht Itzehoe	Itzehoe	25524	Lornsenplatz	1	+49 4821 66-0	+49 4821 66-2352	verwaltung@sg-itzehoe.landsh.de	www.sozialgericht-itzehoe.schleswig-holstein.de	9.522703031247866	53.92065467177848	.
9098978	Sozialgericht Kiel	Kiel	24114	Deliusstraße	22	+49 431 604-0	+49 431 604-4216	verwaltung@sg-kiel.landsh.de	www.sozialgericht-kiel.schleswig-holstein.de	10.12055344218182	54.318642516312735	.
9098995	Sozialgericht Schleswig	Schleswig	24837	Gottorfstraße	2	+49 4621 86-0	+49 4621 86-1025	verwaltung@sg-schleswig.landsh.de	www.sozialgericht-schleswig.schleswig-holstein.de	9.541331959301909	54.50837451270589	.
9099101	Justizprüfungsamt bei dem Schleswig-Holsteinischen Oberlandesgericht	Schleswig	24837	Gottorfstraße	2	+49 4621 86-1007	+49 4621 86-1372	justizpruefungsamt@olg.landsh.de	www.olg.schleswig-holstein.de	9.541331959301909	54.50837451270589	.

